종목코드,대표자,설립일,주소
003300,"허기호, 박지훈",19611228,서울특별시 서초구 효령로 275 서초동 1587 한일시멘트빌딩
003350,이용준,19620321,서울특별시 종로구 청계천로 35
003460,서태영,19620602,서울특별시 영등포구  국제금융로2길 36 유화증권빌딩
003465,,,
003470,뤄즈펑,19620604,서울특별시 영등포구 국제금융로 39 여의도동 앵커원
003475,,,
003480,조원국,19370710,경기도 남양주시 별내3로 391 관리동 1층
003490,"조원태, 우기홍",19620619,서울특별시 강서구 하늘길 260
003495,,,
003520,이기수,19620716,서울특별시 송파구 올림픽로35다길 13 국민연금 잠실사옥 2~3층
003530,장병호,19620719,서울특별시 영등포구  여의대로 56 한화증권빌딩 한화투자증권 주식회사
003535,,,
003540,진승욱,19620727,서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터
003545,,,
003547,,,
003550,"구광모, 권봉석",19470105,서울특별시 영등포구  여의대로 128
003555,,,
003570,박재석,19590401,경상남도 창원시 성산구  남면로 599
003580,김광재,19620924,강원도 정선군 사북읍 소금강로 3583-1 1층 101호(하이시티1)
003610,서재희 대표집행임원,19621205,서울특별시 마포구  월드컵북로 402 케이지아이티센터 18층
003620,"곽재선, 황기영 (각자대표이사)",19621206,경기도 평택시  동삭로 455-12
003650,유재순,19621227,부산광역시 영도구 해양로 241 미창석유
003670,엄기천,19710513,경상북도 포항시 남구 신항로 110
003680,"임우근,임준호(각자대표)",19630314,부산광역시 영도구  태종로 63
003690,원종규,19630319,"서울특별시 중구 청계천로 100 시그니쳐타워 4, 5층 코리안리재보험"
003720,"이석준, 조영한",19590410,"서울특별시 종로구 청계천로 35 13층(서린동, 관정빌딩)"
003780,최원석,19630718,경상남도 양산시 유산공단7길 42 -
003830,김대정,19631022,서울특별시 중구  동호로 310
003850,김정균,19631111,서울 종로구 원남동 보령빌딩 66-21
003920,김승언(대표집행임원),19640313,서울특별시 강남구 도산대로 240 1964빌딩
003925,,,
003960,김상훈,19640501,서울특별시 서초구 남부순환로 2159
004000,정승원,19640827,울산광역시 남구 여천로217번길 19
004020,이보룡,19530610,인천광역시 동구  중봉대로 63
004060,이의범,19641120,"서울특별시 금천구 벚꽃로 278 6층(가산동,에스제이테크노빌)"
