종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
000660,CFS,30468100000000.0,28733332000000.0,26907075000000.0,21007810000000.0,19843696000000.0,14735395000000.0,46826413000000.0,40580970000000.0,34155467000000.0,53503752000000.0,63290542000000.0,62191058000000.0,32765719000000.0,44621568000000.0,42997792000000.0,-7730313000000.0,6809417000000.0,12410340000000.0,-9137547000000.0,2241669000000.0,9616188000000.0
000670,CFS,1369894823006.0,1747077425369.0,1846657402617.0,688209207689.0,925918930294.0,1010763720625.0,1285348175271.0,1468547025489.0,1618710697773.0,4282768794784.0,4403386626977.0,3902290707844.0,3761732632263.0,4429488166601.0,3582074826364.0,-169812608768.0,68871997441.0,-26784314362.0,-83369162564.0,415564249162.0,170063546594.0
000680,CFS,285499587635.0,282285964979.0,280148930102.0,597891183828.0,210966610920.0,171369784430.0,745211525600.0,748565972243.0,755744194994.0,564007596867.0,551876482818.0,553629003062.0,379631754364.0,362911031595.0,390470563901.0,11618277292.0,8016374672.0,4309069589.0,10704983628.0,-2397223065.0,60088302833.0
000700,CFS,323186011567.0,314536587203.0,308802612217.0,57086858829.0,63779943527.0,73853751394.0,68107152536.0,79255169817.0,93662171614.0,446364985165.0,445670895055.0,408044920590.0,341773101419.0,557607368527.0,503704317701.0,21005544102.0,29646246718.0,20347476590.0,23263597963.0,44118934136.0,39167182400.0
000720,CFS,18613430000000.0,15516744000000.0,14526404000000.0,10356647000000.0,8757397000000.0,7613217000000.0,13258980000000.0,10987431000000.0,10207973000000.0,10455515000000.0,9924277000000.0,9429291000000.0,29651357000000.0,21239082000000.0,18065534000000.0,785430000000.0,574902000000.0,753504000000.0,654281000000.0,470876000000.0,554377000000.0
000725,,,,,,,,,,,,,,,,,,,,,,
000760,CFS,44829814562.0,48156421369.0,54670129043.0,30053673395.0,27876430288.0,33733301301.0,58674386856.0,58496402565.0,66332387951.0,207278131988.0,209720843894.0,208357510384.0,47187842383.0,58633950913.0,57775111897.0,-1813616540.0,-884105121.0,-4965189508.0,-2102669509.0,864473481.0,59161557330.0
000810,CFS,,,,,,,68874631707984.0,68272537720188.0,79441679329735.0,16144398281437.0,12523472714851.0,15492331780717.0,,,,2357283417485.0,2044658985784.0,1506861736073.0,1821614343047.0,1626701560909.0,1124710311207.0
000815,,,,,,,,,,,,,,,,,,,,,,
000850,CFS,188321223600.0,204833126801.0,158181676958.0,79201392082.0,85246377720.0,64984358745.0,118338768262.0,128766812502.0,117087775886.0,345546637806.0,345265803434.0,308349081430.0,225720429438.0,244093710786.0,203972289491.0,4560057509.0,8182884639.0,3322539254.0,10563122927.0,37485626338.0,9313607545.0
000860,CFS,329042678141.0,318471402195.0,296850341524.0,220270857716.0,190999008997.0,134446267528.0,293589356337.0,278945532072.0,242083987540.0,692097370896.0,678845782760.0,661926964797.0,638789180998.0,673166188482.0,590983999981.0,23167970906.0,4405118561.0,-12719974974.0,21726050379.0,11666578220.0,47442441436.0
000880,CFS,23053899000000.0,22317004000000.0,17597982000000.0,26074591000000.0,21094631000000.0,16468961000000.0,176539410000000.0,163801018000000.0,166922332000000.0,3399738000000.0,3344110000000.0,3593748000000.0,53134813000000.0,50886731000000.0,52836069000000.0,2411920000000.0,2369638000000.0,2927888000000.0,1635515000000.0,2008961000000.0,2282069000000.0
00088K,,,,,,,,,,,,,,,,,,,,,,
000890,CFS,56289797484.0,57906204735.0,59746784188.0,60764404535.0,49381850760.0,44291064505.0,63286857321.0,64936220688.0,68867729120.0,80013889453.0,82456280259.0,84249034543.0,93084785144.0,90858780910.0,83748910790.0,-2803701933.0,61880701.0,1053737072.0,-3555068227.0,-2828783632.0,-908719386.0
000910,CFS,139172431033.0,140428558016.0,133771712179.0,152236382625.0,132962186534.0,124577642149.0,206746720586.0,201552927080.0,182516607328.0,176099556371.0,174558796250.0,183648543703.0,224649755569.0,234981176780.0,215922625914.0,-1992452119.0,2897590739.0,5173428419.0,-2562126203.0,-9138513568.0,10374291668.0
000950,CFS,153530945344.0,183763559312.0,280690515577.0,38878298744.0,85022926184.0,214719979609.0,47159660314.0,104809893220.0,239288170943.0,189819477322.0,210657995414.0,144025298312.0,94772410649.0,124914049101.0,133745227330.0,-32548106506.0,-35045943284.0,7360077995.0,-19193789810.0,67453344175.0,159907246.0
000970,CFS,247694042814.0,233007687015.0,227709631100.0,59755226888.0,57454236920.0,62669145261.0,74562473227.0,73948278772.0,76191124416.0,359545628831.0,350660350544.0,346898827360.0,456325697481.0,484291225781.0,510185095507.0,20384146359.0,13990246944.0,48569477615.0,17420022071.0,12067999270.0,65898905421.0
000990,CFS,1027982955095.0,1327330066477.0,814724703271.0,220150412233.0,416099502332.0,342632555604.0,303296256385.0,507381718523.0,460954603040.0,1740082437747.0,1634784143895.0,1105159337831.0,1154223638940.0,1669476722276.0,1214682040178.0,265437456373.0,761884807377.0,389229044615.0,264149250979.0,556227095934.0,313979185521.0
001020,CFS,234120860487.0,249090738796.0,241095269218.0,113378421542.0,410999661424.0,195689649970.0,196513777401.0,440215219986.0,451786535547.0,295154590745.0,61614925476.0,45381107747.0,362071696060.0,409957041438.0,435282695963.0,31156677378.0,25843738569.0,31459196423.0,15232336453.0,-1828714243.0,9246301358.0
001040,CFS,13668165559000.0,15143819806000.0,12020596817000.0,15182706675000.0,16950325414000.0,12546083570000.0,29310944319000.0,30506774819000.0,25492465688000.0,17892818574000.0,17733633488000.0,16463530116000.0,41352688159000.0,40924879773000.0,34484026554000.0,2039057889000.0,2154201790000.0,1881800099000.0,524667990000.0,686845690000.0,806961658000.0
001045,,,,,,,,,,,,,,,,,,,,,,
00104K,,,,,,,,,,,,,,,,,,,,,,
001060,CFS,378091350382.0,425457063858.0,366451501352.0,286927113694.0,380131098057.0,282677564196.0,379598339300.0,402213719428.0,444513606704.0,265440456801.0,225759035573.0,188539529698.0,748526707817.0,684351099249.0,606584944778.0,100303770111.0,62960870729.0,31199849285.0,38430259560.0,29852560173.0,-1441453468.0
001065,,,,,,,,,,,,,,,,,,,,,,
001067,,,,,,,,,,,,,,,,,,,,,,
001070,CFS,69357865765.0,99100925561.0,110899060188.0,31792406575.0,61689419718.0,64549223922.0,49782242505.0,75392116742.0,93144325550.0,130936272087.0,135247441132.0,139467794778.0,149403981153.0,191519691272.0,200372904619.0,-1812481976.0,-3886402441.0,5406662230.0,-3671292616.0,-5230874590.0,1555720538.0
