종목코드,업종명
031440,26일반서비스
031820,29IT 서비스
032350,26일반서비스
032560,11금속
032640,20통신
032830,25보험
033240,13전기·전자
033250,15운송장비·부품
033270,09제약
033530,15운송장비·부품
033780,05음식료·담배
033920,05음식료·담배
034020,12기계·장비
034120,30오락·문화
034220,13전기·전자
034230,30오락·문화
034310,26일반서비스
034590,17전기·가스
034730,21금융
03473K,21금융
034830,21금융
035000,26일반서비스
035150,08화학
035250,30오락·문화
035420,29IT 서비스
035510,29IT 서비스
035720,29IT 서비스
036420,30오락·문화
036460,17전기·가스
036530,21금융
036570,29IT 서비스
036580,05음식료·담배
037270,29IT 서비스
037560,30오락·문화
037710,16유통
039130,26일반서비스
039490,24증권
039570,18건설
041650,15운송장비·부품
042660,15운송장비·부품
042700,12기계·장비
044380,13전기·전자
044450,19운송·창고
044820,21금융
047040,18건설
047050,16유통
047400,10비금속
047810,15운송장비·부품
049800,12기계·장비
051600,18건설
051630,08화학
051900,08화학
051905,08화학
051910,08화학
051915,08화학
052690,26일반서비스
053210,30오락·문화
053690,26일반서비스
055490,08화학
055550,21금융
057050,16유통
058430,11금속
058650,11금속
058730,11금속
058850,29IT 서비스
058860,29IT 서비스
060980,21금융
062040,13전기·전자
063160,09제약
064350,15운송장비·부품
064400,29IT 서비스
064960,15운송장비·부품
066570,13전기·전자
066575,13전기·전자
066970,13전기·전자
067830,16유통
068270,09제약
068290,30오락·문화
069260,08화학
069460,11금속
069500,
069620,09제약
069640,16유통
069660,
069730,11금속
069960,16유통
070960,26일반서비스
071050,21금융
071055,21금융
071090,11금속
071320,17전기·가스
071840,16유통
071950,27제조
071970,12기계·장비
072130,29IT 서비스
072710,21금융
073240,08화학
074610,12기계·장비
075180,15운송장비·부품
075580,15운송장비·부품
077500,16유통
077970,12기계·장비
078000,29IT 서비스
078520,08화학
078930,21금융
078935,21금융
079160,30오락·문화
079430,27제조
079550,11금속
079900,12기계·장비
079980,08화학
081000,08화학
081660,16유통
082640,25보험
082740,12기계·장비
083420,08화학
084010,11금속
084670,19운송·창고
084680,27제조
084690,21금융
084695,21금융
084870,06섬유·의류
085310,11금속
085620,25보험
086280,19운송·창고
086790,21금융
088260,28부동산
088350,25보험
088790,16유통
088980,21금융
089470,08화학
089590,19운송·창고
089860,26일반서비스
090080,15운송장비·부품
090350,08화학
090355,08화학
090370,06섬유·의류
090430,08화학
090435,08화학
090460,13전기·전자
091160,
091170,
091180,
091220,
091230,
091810,19운송·창고
092200,15운송장비·부품
092220,13전기·전자
092230,08화학
092440,12기계·장비
092780,15운송장비·부품
092790,11금속
093050,06섬유·의류
093240,06섬유·의류
093370,08화학
094280,26일반서비스
094800,
095570,26일반서비스
095720,26일반서비스
096760,21금융
096770,08화학
096775,08화학
097230,18건설
097520,13전기·전자
097950,05음식료·담배
097955,05음식료·담배
099140,
100090,11금속
100220,30오락·문화
100250,08화학
100840,12기계·장비
100910,
101140,16유통
101280,
101530,05음식료·담배
102110,
102260,08화학
102460,09제약
102780,
102960,
102970,
103140,11금속
103590,13전기·전자
104520,
104530,
104700,11금속
105010,
105190,
105560,21금융
105630,06섬유·의류
105780,
105840,14의료·정밀기기
107590,21금융
108320,13전기·전자
108450,
108590,
108670,08화학
108675,08화학
109070,13전기·전자
111110,06섬유·의류
111380,06섬유·의류
111770,16유통
112610,11금속
114090,30오락·문화
