종목코드,종목명,업종명,시장구분,대표자,현재가,등락률,PBR,PER,ROE,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원),시가총액,매출액,영업이익,EPS,BPS,상장주수,결산월,설립일,주소,경상이익,3년연속흑자
389260,대명에너지,10건설,KOSDAQ,서종현,15850,-4.4,1.72,19.64,7.0,137.24,2066.84,38.32,145.42,-31.39,-9.38,-39.85,58.3,2357,308,179,807.0,9190.0,17916,12.0,20000804.0,"서울특별시 강남구 테헤란로 422 11층 (대치동,KT선릉타워East)",104,True
389470,인벤티지랩,06일반서비스,KOSDAQ,김주희,29450,-3.12,5.7,-38.55,4.0,130.34,-9.1,30.9,238.02,-52.8,-61.25,-11.83,36.4,4112,4,-84,-764.0,5163.0,13307,12.0,20150514.0,"경기도 성남시 중원구 둔촌대로388번길 24, 101호, 601호, 612호",-7,False
389500,에스비비테크,27기계·장비,KOSDAQ,"류재완, 송진웅(각자 대표이사)",31100,-12.64,0.0,0.0,0.0,31.71,0.44,157.78,82.69,-51.93,-55.06,54.34,152.4,2045,0,0,0.0,0.0,6663,12.0,20001118.0,경기도 김포시 월곶면 김포대로2918번길 22,0,False
389650,넥스트바이오메디컬,29의료·정밀기기,KOSDAQ,이돈행,34450,-4.7,6.16,89.02,15.0,72.67,79.87,23.19,537.91,-44.88,-55.95,-39.88,26.8,2810,95,-36,387.0,5588.0,8277,12.0,20140801.0,인천광역시 연수구 벤처로100번길 6,29,False
389680,유디엠텍,,KOSDAQ,왕지남,1592,-0.69,4.9,-12.25,-61.0,-47.08,-81.47,41.67,416.38,-42.0,-56.14,-48.56,8.9,121,61,-20,-130.0,325.0,8320,12.0,20070528.0,경기도 수원시 영통구 창룡대로256번길 91 에이스광교타워2 1405~1408호 &nbsp,-52,False
391710,코닉오토메이션,27기계·장비,KOSDAQ,서종휘 김호정,1138,-5.95,1.83,45.52,4.0,-45.78,-6134.54,96.36,407.22,-47.68,-57.85,-26.53,3.6,453,555,0,25.0,621.0,42620,12.0,20210609.0,경기도 화성시 동탄산단9길 23-12 경기도 화성시 동탄산단9길 23-12 8층(방교동),12,False
393210,토마토시스템,,KOSDAQ,"조길주, 이강찬(각자 대표이사)",2090,-4.35,1.24,-16.33,0.0,25.83,43.8,123.58,110.93,-54.66,-59.26,-68.71,2.3,322,83,2,-128.0,1683.0,15614,12.0,20001027.0,서울특별시 강남구 선릉로91길 10 -,13,False
393890,더블유씨피,28전기·전자,KOSDAQ,최원근,7480,-6.03,0.28,-1.56,-19.0,-65.59,-84.43,101.77,31.73,-59.85,-2.86,-1.45,73.9,2514,429,-205,-4789.0,26430.0,33843,12.0,20161026.0,충청북도 충주시 대소원면 메가폴리스로 195,-484,False
393970,대진첨단소재,23화학,KOSDAQ,유성준,2825,0.0,0.8,-1.07,-56.0,-21.14,-104.09,238.04,34.88,0.0,-31.27,-69.02,0.0,504,263,-49,-2648.0,3532.0,17850,12.0,20190116.0,서울특별시 송파구 올림픽로 342,-41,False
394280,오픈엣지테크놀로지,,KOSDAQ,이성현,9800,-5.04,14.35,-8.11,-108.0,5.91,-20.48,72.7,112.78,-51.6,-27.08,-20.84,26.3,2700,27,-90,-1208.0,683.0,26346,12.0,20171206.0,서울특별시 강남구 역삼로 114 현죽빌딩 12층,-91,False
394420,리센스메디컬,29의료·정밀기기,KOSDAQ,"김건호, 최의경",11020,-8.17,14.85,-5.35,0.0,59.22,21.82,86.49,239.2,-61.47,,,73.5,1257,10,-24,-2058.0,742.0,10934,12.0,20161018.0,"경기도 화성시 동탄순환대로 830, 908호 &nbsp",-19,False
394800,쓰리빌리언,06일반서비스,KOSDAQ,금창원,5580,-4.45,7.51,-32.63,0.0,102.85,20.74,25.82,495.08,-59.94,-62.5,-18.18,15.7,1715,34,-17,-171.0,743.0,31822,12.0,20161010.0,"서울특별시 강남구 테헤란로 415 8층(삼성동, 엘7호텔스강남타워)",-15,False
396270,넥스트칩,28전기·전자,KOSDAQ,김경수,2005,-8.86,5.51,-2.34,-108.0,22.95,29.84,221.05,123.73,-63.74,-37.93,-59.64,25.3,670,323,-184,-856.0,364.0,32887,12.0,20190102.0,경기도 성남시 분당구 대왕판교로 660 유스페이스1 에이동 5층,-207,False
396300,세아메카닉스,26금속,KOSDAQ,이성욱,3350,-7.71,1.22,34.9,4.0,-7.05,30.41,101.02,102.27,-21.36,2.29,-7.97,77.5,772,923,-27,96.0,2745.0,26489,12.0,19990901.0,경상북도 구미시 1공단로10길 80,13,False
396470,워트,27기계·장비,KOSDAQ,박승배,5190,-5.98,1.27,23.48,5.0,0.24,23.24,3.01,3229.78,-35.77,-26.49,-31.53,28.2,855,43,10,221.0,4097.0,16120,12.0,20040408.0,경기도 화성시 동탄면 동탄산단10길 53-15 &nbsp,14,True
397030,에이프릴바이오,06일반서비스,KOSDAQ,차상훈,24800,-6.59,6.11,27.59,27.0,,-143.06,0.83,17490.44,-59.94,-50.99,10.22,155.5,5502,275,169,899.0,4056.0,23413,12.0,20130130.0,강원도 춘천시 강원대학길 1 의생명과학대학 B동 602호,200,False
397810,애드포러스,06일반서비스,KOSDAQ,이은현,4440,-0.45,0.51,-11.04,-7.0,-4.15,-26.99,27.91,438.37,-33.03,-42.19,,0.6,232,78,7,-402.0,8772.0,5160,12.0,20140704.0,서울특별시 강남구 강남대로 560 7층(삼익전자빌딩),10,True
398120,에스지헬스케어,29의료·정밀기기,KOSDAQ,김정수,1911,-1.55,0.88,23.02,6.0,64.15,356.77,63.92,175.26,-43.46,-37.85,-40.0,6.6,229,49,2,83.0,2179.0,11818,12.0,20090717.0,경기도 이천시  모가면 양녕로 10,0,False
399720,가온칩스,28전기·전자,KOSDAQ,정규동,40000,-9.5,8.49,-32.28,-17.0,-29.0,-604.61,185.96,116.38,-43.82,-35.9,-3.96,106.1,5360,206,-39,-1239.0,4714.0,11858,12.0,20120806.0,경기도 성남시 수정구 금토로40번길 26 A동 4층,-30,False
402030,코난테크놀로지,,KOSDAQ,김영섬,10890,-6.04,6.5,-9.35,-53.0,29.11,30.06,54.0,245.21,-47.14,-53.36,-65.45,4.9,1280,263,-141,-1165.0,1676.0,12517,12.0,19990417.0,"서울특별시 서초구 강남대로 327 6층, 7층, 9층(서울특별시 서초구 강남대로)",-136,False
402490,그린리소스,28전기·전자,KOSDAQ,"이종수,이종범(공동대표이사)",6690,-7.47,1.59,10.81,20.0,555.49,1317.26,90.55,86.71,-70.46,-21.02,0.48,64.2,1136,209,25,619.0,4219.0,16935,12.0,20110406.0,인천광역시 서구 파랑로 470 (주)그린리소스,73,True
403490,우듬지팜,19음식료·담배,KOSDAQ,김호연,493,-2.95,0.6,-5.48,-17.0,-5.53,-92.33,96.85,90.32,-60.84,-66.96,-72.57,2.0,229,124,-22,-90.0,815.0,45932,12.0,20110518.0,충청남도 부여군 규암면 흥수로 698,-27,True
403850,더핑크퐁컴퍼니,15오락·문화,KOSDAQ,김민석,10610,4.02,0.83,7.38,13.0,-4.06,-16.9,10.01,1013.31,-38.88,-55.7,,8.3,1397,207,29,1437.0,12838.0,14351,12.0,20100526.0,서울특별시 서초구 명달로 94,86,True
403870,HPSP,27기계·장비,KOSDAQ,이케빈기두,35650,-10.09,0.0,0.0,0.0,-4.65,-4.3,19.94,475.84,-33.24,4.85,45.51,2790.3,32179,0,0,0.0,0.0,82300,12.0,20170314.0,경기도 화성시 삼성1로1길 26 석우동,0,True
405000,플라즈맵,29의료·정밀기기,KOSDAQ,이윤철(단독 대표이사),4930,-10.69,3.31,-2.58,-223.0,-16.7,55.19,261.01,109.33,-38.3,-15.73,-38.91,1.8,192,28,-22,-1913.0,1491.0,3838,12.0,20150331.0,"경기도 성남시 분당구 대왕판교로 670 에이동 10층 1005호(삼평동, 판교테크노밸리 유스페이스2)",-23,False
405100,큐알티,06일반서비스,KOSDAQ,이규복,10420,-3.25,1.36,44.34,6.0,5.9,8.1,49.42,249.12,-52.2,-32.9,-17.37,14.5,1281,204,30,235.0,7641.0,12289,12.0,20140402.0,경기도 이천시 부발읍 경충대로 2091 큐알티 주식회사,31,True
405920,나라셀라,11유통,KOSDAQ,마승철,1755,-0.06,0.35,250.71,-1.0,-0.74,156.27,80.52,157.86,-33.77,-30.63,-36.76,0.2,214,223,5,7.0,5059.0,12878,12.0,19900110.0,"경기도 이천시 백사면 청백리로393번길 353, 지하 1층",-2,False
406820,뷰티스킨,23화학,KOSDAQ,"김종수, 최범석",1733,-3.83,0.76,-14.2,-8.0,-36.73,-589.07,144.55,86.9,-33.35,-57.99,-44.02,38.6,237,125,-15,-122.0,2277.0,14136,12.0,20111207.0,인천광역시 서구 염곡로14번길 27,-21,False
407400,꿈비,31기타제조,KOSDAQ,박영건,2045,-0.49,0.62,-3.3,-20.0,-5.84,-1721.34,49.24,123.06,-55.01,-58.39,-71.52,5.7,299,316,-2,-619.0,3316.0,14634,12.0,20141027.0,경기도 용인시 기흥구 동백죽전대로175번길 6 3층,-6,False
408470,한패스,14금융,KOSDAQ,이근주,5300,-6.85,1.19,7.49,0.0,20.28,57.89,187.07,136.79,-66.03,,,7.1,543,171,-7,708.0,4459.0,10572,12.0,20170203.0,"서울특별시 성동구 아차산로 92 4층(성수동2가, S TOWER)",8,True
408900,스튜디오미르,15오락·문화,KOSDAQ,유재명,1013,-3.15,0.87,-23.02,-2.0,-11.33,-62.17,9.65,661.77,-57.97,-65.72,-77.49,4.0,325,35,-9,-44.0,1167.0,32752,12.0,20101028.0,"서울특별시 금천구 디지털로9길 33 1701호(가산동, 아이티미래타워)",-2,True
408920,메쎄이상,06일반서비스,KOSDAQ,조원표,2905,-0.17,1.55,8.09,24.0,9.95,16.46,12.24,681.25,-15.06,-9.92,10.88,2.4,1223,166,50,359.0,1878.0,43232,12.0,20211029.0,서울특별시 마포구 월드컵북로58길 9 ES타워,54,True
411080,샌즈랩,,KOSDAQ,김기홍,3730,-4.97,1.05,-103.61,1.0,21.71,41.49,5.85,1174.25,-54.18,-46.48,-59.15,6.2,541,18,-10,-36.0,3538.0,15267,12.0,20041101.0,경기도 과천시 과천대로7나길 25 12층,-6,False
412350,레이저쎌,27기계·장비,KOSDAQ,안건준,3745,-9.32,2.55,-2.34,-68.0,11.36,-36.09,105.9,140.26,-51.49,84.48,27.55,95.5,626,12,-17,-1598.0,1467.0,14603,12.0,20150406.0,경기도 화성시 동탄면 동탄산단4길 9-9 -,-17,False
412540,제일엠앤에스,27기계·장비,KOSDAQ,이영진,3935,0.0,-7.08,-5.16,-36100000.0,-33.73,94.3,-4303.07,92.54,0.0,0.0,0.0,0.0,810,155,13,-762.0,-556.0,20600,12.0,19860225.0,경기도 이천시 부발읍 황무로2065번길 72-75,-9,False
413390,엠오티,27기계·장비,KOSDAQ,마점래,6100,-4.54,1.17,20.33,6.0,-11.08,-32.05,99.08,153.0,-37.18,-36.46,-16.09,4.9,683,114,2,300.0,5203.0,11580,12.0,20190307.0,경상남도 양산시 상북면 석계산단2길 46,4,True
413630,씨피시스템,23화학,KOSDAQ,"김경민, 김혜정",3130,-1.11,2.62,59.06,6.0,-10.04,-38.73,6.84,1024.91,-25.48,-34.93,110.92,76.8,1229,52,5,53.0,1194.0,36436,12.0,20211201.0,부산광역시 기장군 정관면 정관상곡1길 27-37 (정관읍 매학리),13,True
413640,비아이매트릭스,,KOSDAQ,배영근,6190,-1.28,1.38,18.64,0.0,1.89,-57.03,51.13,346.61,-27.43,-30.99,-61.88,2.2,454,85,-2,332.0,4493.0,7206,12.0,20050402.0,"서울특별시 강남구 선릉로 433, 신관 17층(역삼동)",-1,False
415380,스튜디오삼익,11유통,KOSDAQ,최정석,1860,-2.11,0.61,6.35,13.0,-11.12,-29.07,26.04,331.97,-12.88,-16.96,-39.33,0.9,218,1079,40,293.0,3037.0,11442,12.0,20170908.0,서울특별시 마포구 토정로 115 스튜디오삼익빌딩,45,True
