종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
009970,영원무역홀딩스,CFS,4289525020435.0,4372107678298.0,781517137068.0,828777285830.0,1575292596604.0,1589606369987.0,4957773450447.0,4987109262473.0,1005672845770.0,892362455302.0,132497139872.0,117874159587.0,108690386425.0,125821460961.0
010040,한국내화,CFS,130316329657.0,121843071543.0,92788050273.0,91201979805.0,137847300401.0,125787539987.0,175352136759.0,181574402966.0,104393329925.0,93353791614.0,-1392645921.0,1053921870.0,-974105575.0,1082979428.0
010060,OCI홀딩스,CFS,4391336642000.0,4763348250000.0,1829621157000.0,1901359096000.0,3195458874000.0,3258113380000.0,4770926704000.0,4835541342000.0,948132888000.0,864763127000.0,48710926000.0,99266616000.0,-14940516000.0,191632134000.0
010100,한국무브넥스,CFS,525092608828.0,498104353353.0,464920368148.0,459466966386.0,603221687775.0,601460673428.0,430027706929.0,412077664913.0,429982623895.0,378485129573.0,17736880508.0,12182444427.0,13171857237.0,12908295671.0
010120,LS ELECTRIC,CFS,3198054111553.0,3052191652183.0,1806739673825.0,1846349798510.0,2773668179384.0,2595105380936.0,1883357845725.0,1890092083448.0,1032084355626.0,1038639368240.0,87309701238.0,93738019601.0,67350694528.0,79712955016.0
010130,고려아연,CFS,6963243931229.0,7567074179254.0,6115793282541.0,6366334342627.0,6729309497576.0,7196894404555.0,7654143693116.0,7595427776993.0,3832784741869.0,2375364686871.0,271105783093.0,184518281418.0,162475453992.0,112394258953.0
010140,삼성중공업,CFS,8642748839663.0,9369985101261.0,11181334564010.0,12029241642640.0,12473197519024.0,13445186022785.0,3807958505639.0,3749451105353.0,2494285868057.0,2347795521953.0,123076970162.0,77866935302.0,90114159858.0,7840892984.0
010400,우진아이엔에스,CFS,45384629362.0,50962270761.0,18719627061.0,18198470225.0,19510213630.0,18832315805.0,69802792944.0,72883270241.0,30161935666.0,24981416274.0,-4006884839.0,-3060456370.0,-3080481647.0,-1388787632.0
010580,에스엠벡셀,CFS,48048929133.0,48458469243.0,27563532067.0,29900258981.0,36586470935.0,38611068175.0,68109396412.0,67316795376.0,42184204951.0,39856388541.0,840028571.0,866059991.0,792601036.0,885679789.0
010640,진양폴리,CFS,10827852008.0,10715463503.0,11695533111.0,7920425946.0,32082695373.0,24679368630.0,31355137484.0,32734111402.0,11744344207.0,13986736609.0,319698448.0,1266341672.0,621026082.0,1057587602.0
010660,화천기계,CFS,68865175541.0,72445937100.0,34056072606.0,34609476930.0,34775721438.0,35312548411.0,137434005515.0,139019845718.0,45816716656.0,46497028606.0,-992072396.0,67998987.0,-725531956.0,1138112352.0
010690,화신,CFS,676049182867.0,599667165885.0,721016507355.0,668820568133.0,892245220124.0,804237462385.0,538592307454.0,517432407373.0,473450573289.0,415632227380.0,30472845147.0,21066986241.0,29112923421.0,29349023431.0
010770,평화홀딩스,CFS,332027188394.0,274635432231.0,416625512494.0,370260877387.0,463893658913.0,413487424502.0,123670199706.0,119934182119.0,211857852598.0,201924192016.0,7769083666.0,7071376766.0,5901679591.0,2773863108.0
010780,아이에스동서,CFS,2124750451123.0,2117324178302.0,1550701691076.0,1601069118020.0,2031693653160.0,1996798520994.0,1525508740483.0,1557190039328.0,299144695963.0,413136948510.0,32350174282.0,79703675433.0,319962485.0,34191165852.0
010820,퍼스텍,CFS,254492448466.0,217806921769.0,301647434546.0,266701357066.0,322746159321.0,286784104108.0,65404087034.0,63670296047.0,53590339118.0,35827370714.0,1424756787.0,22393778.0,2186064846.0,244769665.0
010950,S-Oil,CFS,9077048000000.0,10048039000000.0,10785188000000.0,11656683000000.0,15478831000000.0,15755786000000.0,8652852000000.0,8695647000000.0,8990533000000.0,9308489000000.0,-21541000000.0,454106000000.0,-44558000000.0,166203000000.0
010955,S-Oil우,,,,,,,,,,,,,,,
010960,삼호개발,CFS,213464119405.0,225174763187.0,105559479409.0,108870755931.0,117994675611.0,121095952109.0,227354982504.0,224600676393.0,95033515671.0,93990119902.0,4668427672.0,5476866789.0,5697581117.0,7742729195.0
011000,진원생명과학,CFS,27564046191.0,28635226886.0,43823286899.0,42505721985.0,67855240310.0,65729165208.0,76376723006.0,85605242604.0,8503754012.0,7031706684.0,-9065743722.0,-11099519117.0,-8837292267.0,-9480631137.0
011070,LG이노텍,CFS,5548394000000.0,5853122000000.0,3686263000000.0,3954861000000.0,5490630000000.0,6024347000000.0,5374500000000.0,5353865000000.0,4982840000000.0,4333578000000.0,125117000000.0,176038000000.0,85613000000.0,138466000000.0
011090,에넥스,CFS,60173211978.0,61722657125.0,78762033015.0,80986554377.0,96906595448.0,99767809090.0,43809631583.0,42721432425.0,60314356402.0,63339657817.0,1619665986.0,1715432225.0,1519841986.0,1129372090.0
011150,CJ씨푸드,CFS,89827172417.0,83796240137.0,86077915934.0,82523634073.0,92891876246.0,89450601925.0,83986561734.0,83628617966.0,52528283248.0,52495885514.0,-1000475233.0,1333281364.0,230991938.0,1427501055.0
011155,CJ씨푸드1우,,,,,,,,,,,,,,,
011170,롯데케미칼,CFS,9558383266709.0,8983401895060.0,7631914300309.0,8502342739017.0,14497164712256.0,14564385612175.0,20265899718492.0,19987944762878.0,4901760589377.0,5086124357788.0,-126600377008.0,-135280113029.0,-246315163684.0,-60445948910.0
011200,HMM,CFS,17670173000000.0,17996844000000.0,2718358000000.0,2357189000000.0,6312522000000.0,5993018000000.0,27956316000000.0,27855544000000.0,2854682000000.0,2329865000000.0,613899000000.0,407001000000.0,739729000000.0,485084000000.0
011210,현대위아,CFS,3930893000000.0,3966900000000.0,1991262000000.0,2400075000000.0,2967818000000.0,3049692000000.0,4066994000000.0,4026299000000.0,,,,,,
011230,삼화전자,CFS,13403215541.0,13085261830.0,39765433553.0,36937954401.0,53024211911.0,50174759301.0,17720632583.0,20017950227.0,8124953951.0,8765212906.0,-2071486767.0,-2054691010.0,-2305270011.0,-2296744110.0
011280,태림포장,CFS,171887285000.0,163906860000.0,294337733000.0,281901111000.0,390139208000.0,381159169000.0,326800301000.0,330834884000.0,185036107000.0,169339486000.0,-2328436000.0,563087000.0,-3952880000.0,-1115564000.0
011300,우성머티리얼스,CFS,26214548092.0,25142984915.0,62845791490.0,68724615092.0,79563461579.0,85797260818.0,38337790368.0,31095762234.0,4341877736.0,8477170759.0,1164467912.0,-612259578.0,-622213578.0,-1459677458.0
011330,유니켐,CFS,58352605100.0,54182427489.0,56641988027.0,54495956009.0,67388485515.0,65615230160.0,121796252499.0,120704782185.0,21659397943.0,16282514271.0,1193930598.0,43327547.0,1091470314.0,-308754691.0
011390,부산산업,CFS,56289004332.0,58002005749.0,41725796106.0,40690942429.0,161008810243.0,160882133328.0,173213674574.0,174519120669.0,30859355324.0,25524371867.0,656418691.0,588091883.0,-1028799538.0,62826857.0
011420,갤럭시아에스엠,CFS,26342152619.0,26220940269.0,4043788890.0,4652497275.0,5077148276.0,6863602131.0,59754634609.0,62965288688.0,5182960202.0,6702533377.0,11201254.0,348845253.0,468415506.0,352040433.0
011500,한농화성,CFS,119240004643.0,112306889512.0,37194521287.0,32886980777.0,70858375947.0,68068037232.0,167044815081.0,164878103494.0,62404216036.0,65491735870.0,632347594.0,1569468983.0,3084352787.0,1298400352.0
011690,와이투솔루션,CFS,107582859339.0,98402704882.0,21563474273.0,13586163558.0,24898018954.0,16278035323.0,108946061584.0,108715336808.0,38067907154.0,40607153537.0,932564530.0,917075446.0,781827142.0,3421963408.0
011700,한신기계,CFS,61910080375.0,72877249097.0,17750876710.0,26595444736.0,28734749080.0,36963570328.0,89348069496.0,89595559015.0,8981832254.0,11777109837.0,-529808561.0,918955678.0,240174353.0,1369273307.0
011760,현대코퍼레이션,CFS,1920343492613.0,1678438009822.0,1532927191730.0,1202129077146.0,1635504255681.0,1406981950208.0,672670079487.0,655327234223.0,1856856562185.0,1613272091397.0,36884482833.0,28048063085.0,23757903828.0,34684440706.0
011780,금호석유화학,CFS,2767623676125.0,2710939308766.0,1491123572836.0,1534476881893.0,2302087867983.0,2298015880753.0,6098868856596.0,6042223071506.0,1908229062934.0,1667489494430.0,120608366574.0,78606878736.0,124833104482.0,102573695648.0
011785,금호석유화학우,,,,,,,,,,,,,,,
011790,SKC,CFS,1558166738074.0,1520451642691.0,2426337986246.0,2211034562287.0,4639325115290.0,4455945828201.0,2229284421830.0,2292732707978.0,438464468656.0,398827673586.0,-74476802682.0,-72342768799.0,-117826665281.0,-27993264430.0
011810,STX,CFS,322686000000.0,285265000000.0,479661000000.0,422042000000.0,515442000000.0,457751000000.0,110603000000.0,118657000000.0,179751000000.0,177791000000.0,-2925000000.0,-1136000000.0,-5211000000.0,-6817000000.0
011930,신성이엔지,CFS,253455836603.0,266270817626.0,321238776309.0,323538562174.0,362980068636.0,367722936876.0,225052034825.0,237546701947.0,116300790391.0,134099878453.0,-5238723789.0,5106217054.0,-6917610463.0,3596630447.0
012030,DB,CFS,253659441378.0,286545469511.0,271411200967.0,325817463861.0,421874601332.0,475782051448.0,415555408001.0,394276238337.0,141903846269.0,118884457356.0,17356581190.0,7757063425.0,21249730969.0,7398128478.0
0120G0,삼양바이오팜,,,,,,,,,,,,,,,
012160,영흥,CFS,222758629112.0,243785076346.0,217873279031.0,239390594983.0,272758301314.0,296559024494.0,216348650245.0,216837076986.0,110984994835.0,121295521239.0,-1580546303.0,3792560342.0,585388377.0,2535302836.0
012170,아센디오,CFS,7514080124.0,7658777801.0,4158193708.0,3786335591.0,4320792862.0,4021425355.0,18239803389.0,19274942915.0,594178333.0,1905838803.0,-1128960400.0,-661657134.0,-2181805420.0,-822514073.0
012200,계양전기,CFS,158229505258.0,139994698791.0,149267965310.0,125476864726.0,161557443821.0,137235940047.0,55745528731.0,55514885605.0,93877412130.0,98011751707.0,-2735661492.0,-2275884540.0,204936283.0,-2090125078.0
012205,계양전기우,,,,,,,,,,,,,,,
012280,영화금속,CFS,129190988569.0,115091514055.0,121461932710.0,103562128654.0,157806147123.0,143807580072.0,73723761198.0,72967224045.0,84255889440.0,70315519130.0,3193355124.0,1991635058.0,2610843627.0,1735648501.0
012320,경동인베스트,CFS,211739999215.0,222134211563.0,62588865653.0,69330917387.0,121687991580.0,133834417001.0,485992456737.0,482485709681.0,66478563249.0,75750187724.0,2197842866.0,1598444857.0,4071241351.0,-674566023.0
012330,현대모비스,CFS,29883501000000.0,28424073000000.0,13830795000000.0,12745182000000.0,21839331000000.0,20478673000000.0,46655457000000.0,46118232000000.0,14752034000000.0,13869224000000.0,776683000000.0,542660000000.0,1031748000000.0,862371000000.0
012450,한화에어로스페이스,CFS,23486790863000.0,22867968340000.0,26770447866000.0,25516144577000.0,33698164412000.0,31972556938000.0,10127710127000.0,11364316747000.0,5484220608000.0,1449132008000.0,560746176000.0,17744572000.0,209348668000.0,2616426000.0
012510,더존비즈온,CFS,226261165962.0,215914131430.0,212109494218.0,204315065486.0,493979292828.0,482789066484.0,548255429578.0,554824182699.0,98601018252.0,94412731780.0,21588489669.0,18115115488.0,11998348192.0,36578031254.0
012610,경인양행,CFS,265490729938.0,266392675860.0,233865977231.0,242345900299.0,273550532080.0,279544870913.0,265164082937.0,265424410500.0,99436342422.0,89999651535.0,5323902465.0,5139664195.0,2725313283.0,3556096335.0
012630,HDC,CFS,7459987678116.0,7159430992590.0,5201792908497.0,4829691304933.0,7559597695992.0,7299508679919.0,5154006692732.0,5098799362525.0,1565685498947.0,1370737682190.0,154846534009.0,75613081789.0,109476675222.0,40010826567.0
012690,모나리자,CFS,42612359697.0,44310939571.0,13822974845.0,15436739186.0,14520559246.0,16472368696.0,80534899587.0,80695916224.0,31658542657.0,32499195585.0,-382008840.0,1333324670.0,-161016637.0,1250989914.0
0126Z0,삼성에피스홀딩스,,,,,,,,,,,,,,,
012750,에스원,CFS,1206054898726.0,1221725877876.0,524109850810.0,496652905477.0,699476729035.0,662027523939.0,1611590453010.0,1660670981711.0,674118164316.0,662819881667.0,55050914109.0,48796048791.0,42025088320.0,40656638535.0
012800,대창,CFS,486415331744.0,447743662578.0,479012089697.0,452787926061.0,556340983406.0,523189782232.0,319186904889.0,315371796227.0,372447901418.0,348110851626.0,14565658796.0,5343898393.0,3880285016.0,-4080789266.0
013000,세우글로벌,CFS,52207038913.0,50478712318.0,6720421315.0,4720615453.0,6746966718.0,4747680537.0,51656851627.0,51828532046.0,8233249092.0,8813471365.0,523294252.0,583743780.0,672585576.0,925249012.0
013360,일성건설,CFS,209591845230.0,178187192942.0,273199827672.0,215388494227.0,334707354301.0,303608163981.0,66129246845.0,66811989264.0,114090329753.0,147537425486.0,3002955119.0,2157567199.0,727551058.0,1999644425.0
013520,화승코퍼레이션,CFS,740513111289.0,703098958768.0,738804540127.0,730810726006.0,951769440499.0,926508894133.0,367152393022.0,361990247304.0,134720222304.0,113114473986.0,30865078440.0,25166336738.0,25574088660.0,29133217311.0
013570,디와이,CFS,620764587245.0,585993354469.0,359787871412.0,337175540185.0,454533523221.0,423003601657.0,588813074327.0,580490578302.0,312201945344.0,295098646311.0,16561983632.0,10963222231.0,13409392394.0,8946714333.0
013580,계룡건설,CFS,2053070130119.0,1969670551170.0,1430816300836.0,1364140067139.0,2107205597531.0,2023839811971.0,930082997430.0,917477903262.0,668585668685.0,803340750885.0,31119497784.0,34070262535.0,16528011561.0,19719474330.0
013700,까뮤이앤씨,CFS,171875438693.0,174042410331.0,139470584860.0,143742403671.0,177655944604.0,181056190782.0,97092423028.0,95485083998.0,55957142783.0,60633952447.0,3650990021.0,-1453807788.0,2473716137.0,-3787982818.0
013870,지엠비코리아,CFS,373277109614.0,335263266225.0,359755784926.0,318294235739.0,388680557757.0,345034614956.0,283906129401.0,285508678234.0,179718313013.0,177659718595.0,1388974531.0,5321602923.0,2626939391.0,4543400017.0
