종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동자산_2023,유동부채_2025,유동부채_2024,유동부채_2023,부채총계_2025,부채총계_2024,부채총계_2023,자본총계_2025,자본총계_2024,자본총계_2023,매출액_2025,매출액_2024,매출액_2023,영업이익_2025,영업이익_2024,영업이익_2023,당기순이익_2025,당기순이익_2024,당기순이익_2023,ROE_2025,부채비율_2025,유동비율_2025,ROE_2024,부채비율_2024,유동비율_2024,ROE_2023,부채비율_2023,유동비율_2023,매출액성장률_2025,영업이익성장률_2025,매출액성장률_2024,영업이익성장률_2024,유동자산_2022,유동자산_2021,유동부채_2022,유동부채_2021,부채총계_2022,부채총계_2021,자본총계_2022,자본총계_2021,매출액_2022,매출액_2021,영업이익_2022,영업이익_2021,당기순이익_2022,당기순이익_2021,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
000230,일동홀딩스,CFS,242569583814.0,267472842690.0,269741863061.0,316926542208.0,369324959655.0,531647750490.0,457281586880.0,600703310841.0,707097204368.0,345579807084.0,253998132129.0,169901850428.0,590889546403.0,634654542814.0,621571320119.0,14925169646.0,-4034556477.0,-78537487350.0,21573192487.0,55583181698.0,-118787164570.0,6.24,132.32,76.54,21.88,236.5,72.42,-69.92,416.18,50.74,-6.9,469.93,2.1,94.86,357916641920.0,367618431062.0,526724128430.0,539305409799.0,693452985420.0,737422939881.0,169100181474.0,183339578431.0,675539717333.0,592374545924.0,-98410983144.0,-82843702401.0,-194503503708.0,-134695952279.0,-115.02,410.08,67.95,-73.47,402.22,68.17,-5.49,19.15,14.04,-18.79
000240,한국앤컴퍼니,CFS,605709241694.0,749903811373.0,719088877696.0,257457015581.0,484686609846.0,461942240387.0,478545372042.0,683552763446.0,624304502331.0,4781079225610.0,4452873418433.0,4016691459374.0,1457551700261.0,1390995724547.0,1089668057103.0,411626236474.0,418268299588.0,256563452628.0,347229288109.0,350713050064.0,187234321156.0,7.26,10.01,235.27,7.88,15.35,154.72,4.66,15.54,155.67,4.78,-1.59,27.65,63.03,531357795700.0,630341081664.0,285271955522.0,242029427910.0,445377543909.0,345760552275.0,3856441131880.0,3735469202373.0,1095895770449.0,963300354498.0,245248895826.0,228305200484.0,166028417720.0,200011036446.0,4.31,11.55,186.26,5.35,9.26,260.44,-0.57,4.61,13.76,7.42
000250,삼천당제약,CFS,241758626803.0,242532347978.0,163905937639.0,106571860871.0,93420519276.0,57957199035.0,197638158783.0,170368051944.0,109561750075.0,363593225648.0,349404158895.0,298460071937.0,231805277738.0,210923804522.0,192668515628.0,8466512950.0,2641971274.0,9559814333.0,12029846621.0,-5078046827.0,-4187753548.0,3.31,54.36,226.85,-1.45,48.76,259.61,-1.4,36.71,282.81,9.9,220.46,9.47,-72.36,157749140159.0,168919766042.0,38159520916.0,54019011086.0,127151386518.0,93647148966.0,245641663641.0,250300519222.0,177335410013.0,167274903875.0,12224651499.0,-15293087301.0,8831820464.0,-10360886456.0,3.6,51.76,413.39,-4.14,37.41,312.7,8.65,-21.8,6.01,179.94
000270,기아,CFS,44425929000000.0,41797457000000.0,37466302000000.0,28378332000000.0,26977376000000.0,25674105000000.0,37788591000000.0,36915565000000.0,34069591000000.0,61190464000000.0,55840309000000.0,46558235000000.0,114140919000000.0,107448752000000.0,99808420000000.0,9078148000000.0,12667139000000.0,11607873000000.0,7554174000000.0,9775005000000.0,8777817000000.0,12.35,61.76,156.55,17.51,66.11,154.94,18.85,73.18,145.93,6.23,-28.33,7.65,9.13,34147147000000.0,29205483000000.0,25377803000000.0,21562636000000.0,34367884000000.0,31937441000000.0,39343081000000.0,34912556000000.0,86559029000000.0,69862366000000.0,7233120000000.0,5065685000000.0,5408976000000.0,4760311000000.0,13.75,87.35,134.56,13.63,91.48,135.44,15.31,60.48,23.9,42.79
000300,DH오토넥스,CFS,18811057387.0,26813922849.0,22832186627.0,9999931144.0,30251984157.0,197353624947.0,19126231020.0,40960640758.0,202256217483.0,32101054220.0,26920108848.0,-125889737123.0,,,,3227554944.0,-5148055704.0,-29945679316.0,5755172432.0,113242185596.0,-175132678030.0,17.93,59.58,188.11,420.66,152.16,88.64,139.12,-160.66,11.57,,162.69,,82.81,244993953070.0,319733925042.0,330733362911.0,340478723231.0,431957816260.0,455486600368.0,111252460593.0,138907087930.0,50206345165.0,464527022851.0,-3650120030.0,7907353424.0,-24285822987.0,1985111466.0,-21.83,388.27,74.08,1.43,327.91,93.91,-34.69,-720.4,-89.19,-146.16
000320,노루홀딩스,CFS,657128184876.0,618344524322.0,595112644977.0,358334009198.0,358871107456.0,351623858673.0,467432298583.0,442599207599.0,495031925010.0,811924393550.0,772239740646.0,693791646520.0,1239267844107.0,1247877697168.0,1214475965811.0,64507992759.0,72554697963.0,67823625279.0,58541894001.0,82067736372.0,51679439985.0,7.21,57.57,183.38,10.63,57.31,172.3,7.45,71.35,169.25,-0.69,-11.09,2.75,6.98,583742767450.0,495132610770.0,367016107664.0,308285779935.0,511163923981.0,472000054543.0,660825453997.0,583537127613.0,1031734916590.0,950092196546.0,29622458735.0,26621627604.0,33390806659.0,10707789673.0,5.05,77.35,159.05,1.83,80.89,160.61,17.73,127.65,8.59,11.27
000325,노루홀딩스우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000370,한화손해보험,CFS,,,,,,,17785254247000.0,16881077313000.0,14769484442000.0,2707580443000.0,2953083271000.0,3345779304000.0,,,,,,,292332865000.0,315967449000.0,212756868000.0,10.8,656.87,,10.7,571.64,,6.36,441.44,,,,,,,,,,13942309499679.0,18825405054947.0,3231202089729.0,1459583024339.0,0.0,7992553392764.0,,,187263661938.0,94867381537.0,5.8,431.49,,6.5,1289.78,,,,-100.0,
000390,SP삼화,CFS,313392549309.0,309605425089.0,298301302214.0,208808227601.0,259275948055.0,214188723179.0,280080911091.0,289704209848.0,281560002691.0,340444459586.0,329610877682.0,309053611346.0,617067546154.0,628348259134.0,631381875774.0,9549499585.0,18981518300.0,25826733514.0,7779643622.0,15473334744.0,16130730290.0,2.29,82.27,150.09,4.69,87.89,119.41,5.22,91.1,139.27,-1.8,-49.69,-0.48,-26.5,288113092021.0,303516203271.0,225145199247.0,218092920344.0,287461316451.0,316175727485.0,299724957682.0,295922008681.0,646039531651.0,631605900694.0,19854394322.0,823659928.0,5498047424.0,-2425671290.0,1.83,95.91,127.97,-0.82,106.84,139.17,-2.27,30.08,2.29,2310.51
000400,롯데손해보험,CFS,,,,,,,13796795000000.0,14747239000000.0,13610757000000.0,613504000000.0,794239000000.0,1301660000000.0,,,,,,,51331000000.0,24222000000.0,285580000000.0,8.37,2248.85,,3.05,1856.78,,21.94,1045.65,,,,,,,,,,14961508820035.0,17909167668076.0,1803031352388.0,1002022030279.0,,,,,-99202435421.0,119877975633.0,-5.5,829.8,,11.96,1787.3,,,,,
000430,대원강업,CFS,611262771000.0,534673538000.0,415648612000.0,645504504000.0,544575656000.0,372141470000.0,719091681000.0,622920939000.0,408110669000.0,730205422000.0,690386789000.0,618192990000.0,1599072177000.0,1367585047000.0,1106756862000.0,47006630000.0,22564927000.0,59171860000.0,45988040000.0,36941715000.0,37786380000.0,6.3,98.48,94.7,5.35,90.23,98.18,6.11,66.02,111.69,16.93,108.32,23.57,-61.87,380159612604.0,346751429467.0,376914805040.0,342470164450.0,412406943010.0,406038473793.0,598011882328.0,576991043541.0,1024450498787.0,862222796887.0,22056715849.0,-4958511406.0,23233915898.0,-2857371907.0,3.89,68.96,100.86,-0.5,70.37,101.25,8.03,168.27,18.82,544.83
000440,중앙에너비스,CFS,9354242983.0,10755896807.0,14089537829.0,1167171691.0,2345500563.0,2015432445.0,2987397109.0,3915805410.0,4503843144.0,52007260586.0,54559923135.0,57029289526.0,49592330053.0,49810930913.0,55473865404.0,-1743958445.0,-1746232659.0,-739276625.0,-1115438841.0,-943603348.0,-251207664.0,-2.14,5.74,801.45,-1.73,7.18,458.58,-0.44,7.9,699.08,-0.44,0.13,-10.21,-136.21,12084595556.0,15692197239.0,2414646335.0,3482531959.0,4601893188.0,4806805841.0,58819859634.0,59657671971.0,71620870966.0,60712577714.0,811819806.0,37955693.0,500081876.0,251456957.0,0.85,7.82,500.47,0.42,8.06,450.6,-22.55,-191.06,17.97,2038.86
000480,CR홀딩스,CFS,520927478000.0,509568451000.0,431029759000.0,501151483000.0,687414034000.0,710420110000.0,756993430000.0,832104339000.0,795117752000.0,808194985000.0,858357775000.0,826684107000.0,827752427000.0,810831515000.0,816904445000.0,27823631000.0,17438364000.0,39415273000.0,-18803450000.0,-1278597000.0,26857674000.0,-2.33,93.66,103.95,-0.15,96.94,74.13,3.25,96.18,60.67,2.09,59.55,-0.74,-55.76,460349348857.0,415565058720.0,551300891815.0,448165791167.0,793378121821.0,560656513213.0,827063930862.0,788679464058.0,798039613255.0,746291404630.0,22597868685.0,33138447600.0,49575574685.0,33396172674.0,5.99,95.93,83.5,4.23,71.09,92.73,2.36,74.42,6.93,-31.81
000490,대동,CFS,1154896654542.0,1133886383951.0,1174544147465.0,1159210681602.0,1101155537489.0,1110209880220.0,1628494698079.0,1531411970874.0,1379316412077.0,646506208741.0,601215345248.0,577059698865.0,1484722098136.0,1415582422216.0,1433390777280.0,31224606429.0,18456574878.0,65403445106.0,-29871783649.0,-45134481978.0,11919509695.0,-4.62,251.89,99.63,-7.51,254.72,102.97,2.07,239.02,105.79,4.88,69.18,-1.24,-71.78,1048975028464.0,688216247809.0,925269813878.0,691723595537.0,1241782449283.0,874734548516.0,471990756298.0,385904527476.0,1463737929724.0,1179193321819.0,88279120517.0,38206130770.0,38470968608.0,34671963023.0,8.15,263.09,113.37,8.98,226.67,99.49,-2.07,-25.91,24.13,131.06
0004V0,엔비알모션,CFS,39253066213.0,29951584656.0,28816206169.0,39487450216.0,45661193721.0,77028505197.0,51914124032.0,59418975027.0,84321280522.0,34393461523.0,18763042607.0,-3984655938.0,63094455574.0,63840713113.0,68085761791.0,-3928308472.0,-4103208096.0,2562491003.0,-12248659118.0,-7585281126.0,-4902566843.0,-35.61,150.94,99.41,-40.43,316.68,65.6,123.04,-2116.15,37.41,-1.17,4.26,-6.23,-260.13,,,,,,,,,,,,,,,,,,,,,,,,
0004Y0,디비금융제14호스팩,CFS,11961595141.0,2092980522.0,,550000.0,0.0,,1552580038.0,1482555231.0,,10409015103.0,610425291.0,,0.0,,,-58703790.0,-6136740.0,,-19057688.0,-6911606.0,,-0.18,14.92,2174835.48,-1.13,242.87,,,,,,-856.6,,,,,,,,,,,,,,,,,,,,,,,,,,
000500,가온전선,CFS,969580990000.0,654804752000.0,545333237000.0,744660678000.0,518334366000.0,376758134000.0,894139107000.0,589179383000.0,470794089000.0,483788805000.0,453705043000.0,331011443000.0,2545698074000.0,1727103680000.0,1498606544000.0,79191591000.0,45011778000.0,43720039000.0,51396625000.0,25355195000.0,17898342000.0,10.62,184.82,130.2,5.59,129.86,126.33,5.41,142.23,144.74,47.4,75.94,15.25,2.95,491767369545.0,401943906435.0,319323694193.0,246544293099.0,449261889191.0,390851138494.0,303070555819.0,268115290322.0,1416454404337.0,1070383204799.0,28462568691.0,16571777888.0,10463889335.0,5854428912.0,3.45,148.24,154.0,2.18,145.78,163.03,5.8,53.61,32.33,71.75
000520,삼일제약,CFS,81958221734.0,91345650494.0,81115093239.0,185162713683.0,106660109599.0,168674681515.0,238339519546.0,218947290895.0,242852725250.0,133262036276.0,176123873044.0,127827371786.0,210253472993.0,219699586442.0,196345807846.0,-22211884927.0,113040731.0,6471027760.0,-34663701924.0,-5628801989.0,1663539539.0,-26.01,178.85,44.26,-3.2,124.31,85.64,1.3,189.98,48.09,-4.3,-19749.45,11.89,-98.25,74781467488.0,76710526474.0,132592028750.0,121674244828.0,230880901101.0,160658490541.0,125819595538.0,65746492511.0,179676108240.0,134246777887.0,4016581828.0,399740768.0,-28287010.0,-5346662644.0,-0.02,183.5,56.4,-8.13,244.36,63.05,9.28,61.11,33.84,904.8
000540,흥국화재,CFS,,,,,,,11665273000000.0,12122030000000.0,10663022000000.0,836868000000.0,772659000000.0,1368531000000.0,,,,,,,151689000000.0,106722000000.0,295540000000.0,18.13,1393.92,,13.81,1568.87,,21.6,779.16,,,,,,,,,,9810958000000.0,13071612000000.0,2592783000000.0,690648000000.0,,,,,207243000000.0,62045000000.0,7.99,378.39,,8.98,1892.66,,,,,
000545,흥국화재우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000590,CS홀딩스,CFS,279932055639.0,267523910482.0,236509695616.0,19796684066.0,23777076696.0,25133516977.0,31670115640.0,35090175721.0,36702819606.0,393726081741.0,377496622222.0,347206891081.0,134870815287.0,141950747269.0,171965239524.0,20215270547.0,22314081505.0,19128717935.0,20996079784.0,37853224906.0,22145557927.0,5.33,8.04,1414.04,10.03,9.3,1125.13,6.38,10.57,941.01,-4.99,-9.41,-17.45,16.65,213280099039.0,189086292937.0,22982072997.0,29190455516.0,33693421213.0,41521127951.0,330428149572.0,312195867796.0,175266452048.0,159017955309.0,15632045335.0,19647701659.0,18788497648.0,21065820782.0,5.69,10.2,928.03,6.75,13.3,647.77,-1.88,22.37,10.22,-20.44
000640,동아쏘시오홀딩스,CFS,503968124269.0,449172482597.0,413803739844.0,674047788182.0,703282253044.0,628929901050.0,927773911607.0,966546316740.0,929797048609.0,1151530812147.0,1063937470276.0,1027309301757.0,1429766810735.0,1333229636666.0,1132002860400.0,97772974663.0,82094664924.0,76881723048.0,91466489869.0,57573399359.0,55863039721.0,7.94,80.57,74.77,5.41,90.85,63.87,5.44,90.51,65.79,7.24,19.1,17.78,6.78,338341608434.0,358552483675.0,566085715566.0,467281724372.0,732791277454.0,706347761608.0,998660789749.0,985040574378.0,1014860897959.0,881944084032.0,37854827137.0,61564188030.0,7835195645.0,60511695848.0,0.78,73.38,59.77,6.14,71.71,76.73,11.54,103.1,15.07,-38.51
000650,천일고속,CFS,2994531764.0,3614554270.0,5021819384.0,24093313239.0,20146010641.0,8691395907.0,43950854975.0,39416038248.0,35683673324.0,9583544196.0,14086493860.0,19058948856.0,45550266479.0,44716883420.0,43998455771.0,-5940519077.0,-5269198646.0,-5148165928.0,-5623543217.0,-4197020928.0,-4813001445.0,-58.68,458.61,12.43,-29.79,279.81,17.94,-25.25,187.23,57.78,1.86,-12.74,1.63,-2.35,9480877874.0,14796468264.0,18006556086.0,6162509644.0,28229905515.0,26777803079.0,26615752815.0,35928246855.0,37703179407.0,29342954504.0,-7411183633.0,-9844065237.0,-6007020421.0,-567981626.0,-22.57,106.06,52.65,-1.58,74.53,240.1,16.7,30.54,28.49,24.71
000660,SK하이닉스,CFS,69458073000000.0,42278887000000.0,30468100000000.0,37378999000000.0,24965444000000.0,21007810000000.0,55440908000000.0,45939505000000.0,46826413000000.0,120666751000000.0,73915704000000.0,53503752000000.0,97146675000000.0,66192960000000.0,32765719000000.0,47206319000000.0,23467319000000.0,-7730313000000.0,42947902000000.0,19796902000000.0,-9137547000000.0,35.59,45.95,185.82,26.78,62.15,169.35,-17.08,87.52,145.03,46.76,101.16,102.02,403.58,28733332000000.0,26907075000000.0,19843696000000.0,14735395000000.0,40580970000000.0,34155467000000.0,63290542000000.0,62191058000000.0,44621568000000.0,42997792000000.0,6809417000000.0,12410340000000.0,2241669000000.0,9616188000000.0,3.54,64.12,144.8,15.46,54.92,182.6,-26.57,-213.52,3.78,-45.13
000670,영풍,CFS,1375398468297.0,1556095230506.0,1369894823006.0,1431380114334.0,927947129412.0,688209207689.0,1983907994996.0,1716406429617.0,1285348175271.0,4018786224502.0,3985301285146.0,4282768794784.0,2908974321148.0,2787414358375.0,3761732632263.0,-259688708486.0,-160701935806.0,-169812608768.0,30876821465.0,-327809725720.0,-83369162564.0,0.77,49.37,96.09,-8.23,43.07,167.69,-1.95,30.01,199.05,4.36,-61.6,-25.9,5.37,1747077425369.0,1846657402617.0,925918930294.0,1010763720625.0,1468547025489.0,1618710697773.0,4403386626977.0,3902290707844.0,4429488166601.0,3582074826364.0,68871997441.0,-26784314362.0,415564249162.0,170063546594.0,9.44,33.35,188.69,4.36,41.48,182.7,-15.08,-346.56,23.66,357.14
