종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
03481K,해성산업1우,,,,,,,,,,,,,,,
034940,조아제약,CFS,35051807043.0,39739783142.0,35759395473.0,36655608663.0,42916431523.0,42759148441.0,21766627791.0,28560888330.0,59310981915.0,62693744124.0,-6598459624.0,-9649407243.0,-7363415358.0,-10167885748.0
034950,한국기업평가,CFS,126929214988.0,124338966438.0,29854020466.0,30634627585.0,41484398226.0,40541832943.0,146019077956.0,134783166184.0,109781324514.0,104057473143.0,34339555609.0,32680454148.0,29379523682.0,28595822551.0
035080,그래디언트,CFS,1051597666295.0,1068556709996.0,890022149222.0,852154296491.0,1023404313750.0,955910708047.0,723239057204.0,782040648510.0,3061593068748.0,3317910394761.0,-29581406856.0,-5512716880.0,-24705775927.0,-25955494157.0
035200,프럼파스트,CFS,30234348356.0,28800657108.0,3240212707.0,3775712616.0,3701584543.0,4623125400.0,37978884946.0,38779117804.0,25230889434.0,29659703118.0,-443646135.0,1624232382.0,1021790720.0,1918249222.0
035290,골드앤에스,CFS,11291858857.0,13413681789.0,2836983060.0,2079867985.0,5040705457.0,2888200401.0,11503761486.0,12971734923.0,9019704769.0,9593956706.0,-1877853222.0,-486243638.0,-1474321263.0,61324607.0
035460,기산텔레콤,CFS,94115910642.0,84275152992.0,48719723120.0,42576628930.0,63756412256.0,60515604403.0,66477259910.0,52763147472.0,99473228556.0,93077993766.0,8077508374.0,4946654869.0,5795563458.0,8091301786.0
035600,KG이니시스,CFS,975516659314.0,913210961045.0,1025943161712.0,1056537432094.0,1226873757157.0,1112846714464.0,758220694106.0,753545210474.0,1358884614233.0,1354336925346.0,98558042415.0,60992821197.0,57783387851.0,44713847288.0
035610,솔본,CFS,212449746659.0,188895154019.0,40429460189.0,39159464709.0,62640247985.0,55448432250.0,311885742952.0,284523002722.0,120651025450.0,116081151319.0,24620979407.0,21158651978.0,34523112787.0,54474997786.0
035620,바른손이앤에이,CFS,7755624530.0,9345908459.0,28818986776.0,36553060626.0,44506483123.0,43744774776.0,58381781371.0,67421632577.0,11603958770.0,9488644875.0,-2276213982.0,-266076028.0,-6893362078.0,-5175167552.0
035760,CJ ENM,CFS,2552146515757.0,2909496824375.0,3201351698384.0,3814173897612.0,5220924631396.0,5638566211854.0,3445841457803.0,3678070719057.0,5134511101925.0,5231360073502.0,132887741945.0,104478244497.0,17013682266.0,-580847429608.0
035810,이지홀딩스,CFS,1431072611370.0,1322520032775.0,1310938003374.0,1233813702521.0,1661178782322.0,1649339630230.0,1235439344107.0,1206545906491.0,3388904350275.0,3284975746816.0,151350122116.0,123396227384.0,69251242722.0,35095679171.0
035890,서희건설,CFS,967709459267.0,975402856471.0,357804475136.0,460756588420.0,538200951859.0,566802380650.0,1085732219460.0,973788086702.0,1100130344137.0,1473606222319.0,144388838105.0,235743001764.0,120601252773.0,159284478910.0
035900,JYP Ent.,CFS,496447845291.0,362268599891.0,206243158446.0,174828773094.0,226142470880.0,195900558505.0,624947719298.0,482881501386.0,821854634614.0,601787883332.0,155246094076.0,128262269240.0,160563476080.0,97714913917.0
036000,예림당,CFS,228111159097.0,57901770328.0,44714342980.0,16569684740.0,44853453680.0,18909811159.0,255846469750.0,178095978305.0,10258304518.0,11805914064.0,-1420156697.0,361237050.0,126194760137.0,-21965161735.0
036010,아비코전자,CFS,97961262540.0,81492120365.0,28982336593.0,23953056212.0,36252895897.0,35327341595.0,116733026025.0,107216639233.0,133852502966.0,120929975441.0,8313696930.0,-4876861940.0,9521504401.0,-5822800534.0
036030,케이티알파,CFS,433164414218.0,391571559367.0,188932060175.0,195267172327.0,192822330277.0,200856698744.0,303073655507.0,261271227086.0,395886247409.0,388170405304.0,44161873807.0,24595319091.0,43644345430.0,19674888094.0
036090,위지트,CFS,225324136458.0,216516283510.0,246651661072.0,110881786860.0,273852682113.0,248303123863.0,406073934521.0,367808745691.0,483026164741.0,357440585776.0,25839567046.0,13821384825.0,23960937834.0,12883719682.0
036120,서울평가정보,CFS,27094360382.0,18120652805.0,5907618720.0,5445248313.0,6341056775.0,6082804675.0,35417366085.0,30646847797.0,41257827184.0,38082158968.0,6757649441.0,5160192153.0,6794963948.0,2689556045.0
036170,에이치엠넥스,CFS,102468510479.0,87092378858.0,5661425782.0,979697694.0,27919779905.0,1132524203.0,134939342254.0,123979650021.0,31707375183.0,15162909359.0,2367143405.0,318104254.0,10910332774.0,5512578099.0
036190,금화피에스시,CFS,297773250705.0,259229924927.0,81380775032.0,76572265655.0,105477063437.0,100863618933.0,385157747236.0,360921043276.0,423433500797.0,340226854764.0,43801481164.0,36198289191.0,30591844321.0,40039278761.0
036200,유니셈,CFS,170436511240.0,174017224458.0,37137439328.0,33204799713.0,39203785419.0,34751570642.0,243606948375.0,228299924242.0,273330435300.0,218160735643.0,10901847307.0,9974310432.0,8964739747.0,15504799224.0
036220,오상헬스케어,CFS,101679368655.0,62615441213.0,24093500736.0,8360178889.0,54886759478.0,8982220742.0,281318802819.0,286017981301.0,128628728661.0,80488364604.0,2426328739.0,-24784976694.0,3106565420.0,-11391203913.0
036480,대성미생물,CFS,25234134769.0,23641437729.0,8531612704.0,4530331894.0,22557742754.0,23229800645.0,35421462672.0,35149367374.0,25988810012.0,23803929086.0,714269442.0,-1551719611.0,598188050.0,-1769362731.0
036540,SFA반도체,CFS,160514677227.0,220511034740.0,43532905649.0,91517108583.0,76627410257.0,125578068973.0,472827187628.0,497907590933.0,367389147993.0,400482861805.0,-19626671175.0,-31004226.0,-19130997781.0,20458863208.0
036560,KZ정밀,CFS,89156227877.0,87724669677.0,48308134360.0,19821895502.0,152840088664.0,122071874986.0,581167526018.0,482375961342.0,110512771845.0,112713189198.0,10180084478.0,15202848992.0,9303093069.0,19199161723.0
