종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
002220,한일철강,KOSPI,619,5,-16,-1.13,1062,26697,12.0
002240,고려제강,KOSPI,4327,70,269,1.36,4438,27000,12.0
002310,아세아제지,KOSPI,2171,100,126,3.06,2895,39449,12.0
002320,한진,KOSPI,7790,198,-48,-0.25,2265,15518,12.0
002350,넥센타이어,KOSPI,8383,542,797,8.56,6680,97667,12.0
002355,넥센타이어1우B,KOSPI,0,0,0,0.0,254,6500,12.0
002360,SH에너지화학,KOSPI,308,-12,-8,-12.01,210,11113,12.0
002380,KCC,KOSPI,16264,881,3125,23.84,35101,8592,12.0
002390,한독,KOSPI,1354,8,-98,-1.11,1132,13763,12.0
002410,범양건영,KOSPI,77,5,-7,-36100000.0,531,27479,12.0
002420,세기상사,KOSPI,320,-20,-27,-10.99,313,5969,12.0
002450,삼익악기,KOSPI,704,87,127,8.93,1016,90530,12.0
002460,HS화성,KOSPI,690,2,48,6.75,1085,10150,12.0
002600,조흥,KOSPI,1225,38,-27,4.49,831,600,12.0
002620,제일파마홀딩스,KOSPI,1504,36,47,4.28,1046,15973,12.0
002630,오리엔트바이오,KOSPI,0,0,0,0.0,628,59291,3.0
002690,동일제강,KOSPI,1511,-58,-7,-0.32,312,20300,12.0
002700,신일전자,KOSPI,0,0,0,0.0,714,68547,12.0
002710,TCC스틸,KOSPI,1747,-40,-27,-3.6,2246,26213,12.0
002720,국제약품,KOSPI,440,20,26,6.33,704,21159,12.0
002760,보락,KOSPI,476,-18,-16,-3.16,597,59900,12.0
002780,진흥기업,KOSPI,7262,-47,6,0.81,1093,145471,12.0
002785,진흥기업우B,KOSPI,0,0,0,0.0,11,857,12.0
002787,진흥기업2우B,KOSPI,0,0,0,0.0,7,294,12.0
002790,아모레퍼시픽홀딩스,KOSPI,12227,1378,1704,3.55,18426,76458,12.0
002795,아모레퍼시픽홀딩스우,KOSPI,0,0,0,0.0,673,6381,12.0
00279K,아모레퍼시픽홀딩스3우C,KOSPI,0,0,0,0.0,1443,7092,12.0
002810,삼영무역,KOSPI,1094,45,222,10.29,3933,18466,12.0
002820,SUN&L,KOSPI,506,-28,-64,-1.73,288,12607,12.0
002840,미원상사,KOSPI,1173,98,138,10.08,5719,4750,12.0
002870,신풍,KOSPI,60,-6,8,2.92,374,34958,12.0
002880,디와이에이,KOSPI,1893,73,45,2.86,367,46773,12.0
002900,TYM,KOSPI,2897,350,406,14.03,2575,41400,12.0
002920,유성기업,KOSPI,674,-34,25,-10.94,444,25947,12.0
002960,한국쉘석유,KOSPI,3272,460,508,28.93,6487,1300,12.0
002990,금호건설,KOSPI,4534,121,137,31.93,3834,37259,12.0
002995,금호건설우,KOSPI,0,0,0,0.0,66,292,12.0
003000,부광약품,KOSPI,478,11,21,4.79,3704,98664,12.0
003010,혜인,KOSPI,0,0,0,0.0,535,12712,12.0
003030,세아제강지주,KOSPI,9919,267,229,0.62,4021,4141,12.0
003060,에이프로젠바이오로직스,KOSPI,216,-136,-46,-48.81,285,14412,12.0
003070,코오롱글로벌,KOSPI,6312,220,143,-22.64,2189,25423,12.0
003075,코오롱글로벌우,KOSPI,0,0,0,0.0,91,740,12.0
003080,SB성보,KOSPI,443,70,69,23.76,436,20020,12.0
003090,대웅,KOSPI,4927,478,679,16.32,9401,58141,12.0
003120,일성아이에스,KOSPI,690,-95,112,3.41,2686,13300,12.0
003160,디아이,KOSPI,1057,189,190,6.28,5572,28300,12.0
003200,일신방직,KOSPI,1405,30,39,2.0,2220,22960,12.0
003220,대원제약,KOSPI,1581,44,39,-1.63,1731,22427,12.0
003230,삼양식품,KOSPI,7144,1771,2012,37.96,84143,7533,12.0
003240,태광산업,KOSPI,5333,-114,357,0.86,9163,1113,12.0
003280,흥아해운,KOSPI,400,11,6,11.19,4495,240424,12.0
003300,한일홀딩스,KOSPI,3956,124,120,2.11,5192,30831,12.0
003350,한국화장품제조,KOSPI,0,0,0,0.0,1706,22660,12.0
003460,유화증권,KOSPI,377,122,218,3.5,1729,56702,12.0
003465,유화증권우,KOSPI,0,0,0,0.0,510,17476,12.0
003470,유안타증권,KOSPI,17234,728,879,0.0,8449,192680,12.0
003475,유안타증권우,KOSPI,0,0,0,0.0,525,12811,12.0
003480,한진중공업홀딩스,KOSPI,4840,496,444,14.88,1364,29529,12.0
003490,대한항공,KOSPI,66581,5174,468,5.78,93343,368220,12.0
003495,대한항공우,KOSPI,0,0,0,0.0,245,1110,12.0
003520,영진약품,KOSPI,2520,87,29,1.37,2161,182892,12.0
003530,한화투자증권,KOSPI,16594,296,250,0.0,9161,214547,12.0
003535,한화투자증권우,KOSPI,0,0,0,0.0,269,4800,12.0
003540,대신증권,KOSPI,24014,1025,1941,0.0,12131,47666,12.0
003545,대신증권우,KOSPI,0,0,0,0.0,4764,24383,12.0
003547,대신증권2우B,KOSPI,0,0,0,0.0,1824,9606,12.0
003550,LG,KOSPI,18006,4138,4427,1.73,147109,151192,12.0
003555,LG우,KOSPI,0,0,0,0.0,1897,3011,12.0
003570,SNT다이내믹스,KOSPI,1799,213,239,7.65,10707,33252,12.0
003580,HLB글로벌,KOSPI,267,-25,-29,-5.24,623,50663,12.0
003610,방림,KOSPI,625,-7,65,3.76,1628,32110,9.0
003620,KG모빌리티,KOSPI,11414,96,249,4.83,5494,202374,12.0
003650,미창석유,KOSPI,4319,456,675,13.54,2485,1739,12.0
003670,포스코퓨처엠,KOSPI,7575,177,100,-0.4,123279,88946,12.0
003680,한성기업,KOSPI,3325,110,33,4.25,534,6209,12.0
003690,코리안리,KOSPI,17737,2912,2905,0.0,23645,176721,12.0
003720,삼영,KOSPI,484,60,67,19.68,1938,34000,12.0
003780,진양산업,KOSPI,222,17,17,10.63,609,13000,12.0
003830,대한화섬,KOSPI,1238,-15,-64,-0.35,1450,1328,12.0
003850,보령,KOSPI,2554,202,539,12.78,6974,85787,12.0
003920,남양유업,KOSPI,2252,5,82,1.57,2451,6000,12.0
003925,남양유업우,KOSPI,0,0,0,0.0,628,2000,12.0
003960,사조대림,KOSPI,8863,238,199,-10.59,2708,9164,12.0
004000,롯데정밀화학,KOSPI,5107,327,554,5.1,11726,25800,12.0
004020,현대제철,KOSPI,57397,157,-321,0.04,33761,133445,12.0
004060,SG세계물산,KOSPI,277,-19,41,1.4,481,20242,12.0
004080,신흥,KOSPI,252,8,11,2.91,1304,9300,12.0
004090,한국석유,KOSPI,1712,41,25,3.67,1424,12694,12.0
004100,태양금속,KOSPI,1511,61,47,2.76,932,36700,12.0
004105,태양금속우,KOSPI,0,0,0,0.0,98,3300,12.0
004140,동방,KOSPI,2415,65,20,7.94,869,47971,12.0
004150,한솔홀딩스,KOSPI,2696,79,128,0.88,1228,41026,12.0
004170,신세계,KOSPI,18471,1978,1849,1.71,53081,9445,12.0
004250,NPC,KOSPI,1100,62,54,3.48,1066,36720,12.0
004255,NPC우,KOSPI,0,0,0,0.0,102,5280,12.0
004270,남성,KOSPI,185,11,58,0.57,225,3621,12.0
004310,현대약품,KOSPI,0,0,0,0.0,2185,32000,11.0
004360,세방,KOSPI,2998,69,222,4.79,2377,19115,12.0
004365,세방우,KOSPI,0,0,0,0.0,328,3689,12.0
004370,농심,KOSPI,9340,674,809,6.36,21198,6082,12.0
004380,삼익THK,KOSPI,654,-38,-53,-24.75,1666,20700,12.0
004410,서울식품,KOSPI,586,-22,-30,-12.02,389,39455,12.0
004415,서울식품우,KOSPI,0,0,0,0.0,9,222,12.0
004430,송원산업,KOSPI,2692,266,285,2.03,2899,24000,12.0
004440,삼일씨엔에스,KOSPI,2213,-17,-26,-0.75,622,12731,12.0
004450,삼화왕관,KOSPI,393,18,35,4.37,536,2154,12.0
004490,세방전지,KOSPI,5254,333,483,8.3,7290,13860,12.0
004540,깨끗한나라,KOSPI,1251,-40,-69,-26.93,480,37240,12.0
004545,깨끗한나라우,KOSPI,0,0,0,0.0,15,366,12.0
004560,현대비앤지스틸,KOSPI,1997,84,65,3.21,1614,15078,12.0
004690,삼천리,KOSPI,18095,1102,1249,7.27,4058,3626,12.0
004700,조광피혁,KOSPI,902,72,155,2.58,4248,6649,12.0
004710,한솔테크닉스,KOSPI,3160,141,146,-4.67,3733,40629,12.0
004720,팜젠사이언스,KOSPI,429,20,-7,0.05,788,22654,12.0
004770,써니전자,KOSPI,128,26,55,5.36,578,35507,12.0
004800,효성,KOSPI,5302,946,995,14.53,24424,16740,12.0
004830,덕성,KOSPI,343,9,7,3.84,511,15680,12.0
004835,덕성우,KOSPI,0,0,0,0.0,55,1392,12.0
004840,DRB동일,KOSPI,2000,59,105,0.9,813,19272,12.0
004870,티웨이홀딩스,KOSPI,52,-52,-250,-13.15,279,113163,12.0
004890,동일산업,KOSPI,829,29,104,-1.19,839,2425,12.0
004910,조광페인트,KOSPI,464,-62,-43,-8.13,437,12800,12.0
004920,씨아이테크,KOSPI,66,-15,105,31.75,489,52179,12.0
004960,한신공영,KOSPI,2524,193,183,8.44,1137,11570,12.0
004970,신라교역,KOSPI,859,45,162,2.52,1457,16000,12.0
004980,성신양회,KOSPI,2850,8,-48,5.2,1924,24516,12.0
004985,성신양회우,KOSPI,0,0,0,0.0,60,735,12.0
004990,롯데지주,KOSPI,36222,461,422,-8.64,22125,99663,12.0
00499K,롯데지주우,KOSPI,0,0,0,0.0,178,805,12.0
005010,휴스틸,KOSPI,1479,-53,-14,-1.55,2005,56188,12.0
005030,부산주공,KOSPI,0,0,0,0.0,450,92782,12.0
005070,코스모신소재,KOSPI,5697,250,200,3.62,11658,33214,12.0
005090,SGC에너지,KOSPI,6115,357,123,-7.83,5439,14409,12.0
005110,한창,KOSPI,8,-19,-71,2845.77,264,21106,12.0
005180,빙그레,KOSPI,3124,138,140,7.68,5932,9269,12.0
005250,녹십자홀딩스,KOSPI,5348,31,-173,-9.81,4336,47028,12.0
005257,녹십자홀딩스2우,KOSPI,0,0,0,0.0,132,845,12.0
005300,롯데칠성,KOSPI,9525,478,342,4.31,8981,9278,12.0
005305,롯데칠성우,KOSPI,0,0,0,0.0,514,775,12.0
005320,온타이드,KOSPI,567,-55,-52,-14.84,283,34187,12.0
005360,모나미,KOSPI,328,-27,-31,-13.12,494,18897,12.0
005380,현대차,KOSPI,459389,25147,35215,7.5,816983,204757,12.0
005385,현대차우,KOSPI,0,0,0,0.0,44301,23340,12.0
005387,현대차2우B,KOSPI,0,0,0,0.0,66326,34963,12.0
005389,현대차3우B,KOSPI,0,0,0,0.0,4324,2327,12.0
