종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021,ROE_2023,부채비율_2023,유동비율_2023,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
001230,동국홀딩스,CFS,919871143473.0,2774282526162.0,2682765756695.0,540823934851.0,2824096283756.0,3119195484420.0,644335386070.0,3178727259124.0,3551698513509.0,1777312951379.0,3272520537758.0,2782412405551.0,1841113699327.0,2098912392887.0,1754741621543.0,60062636095.0,86773672399.0,-8026299154.0,231577736410.0,411365431091.0,558595878971.0,13.03,36.25,170.09,12.57,97.13,98.24,20.08,127.65,86.01,-12.28,-30.78,19.61,1181.12
001250,GS글로벌,CFS,967517157946.0,1006878372309.0,1038726911531.0,769699575113.0,805649501154.0,926642821394.0,953110256832.0,1012698524738.0,1100168067127.0,447988123538.0,406714433715.0,342513753782.0,3916492566786.0,5070923117354.0,3849040520289.0,76519058573.0,70467603982.0,38846703450.0,26078650864.0,68061370179.0,22028008413.0,5.82,212.75,125.7,16.73,248.99,124.98,6.43,321.2,112.1,-22.77,8.59,31.75,81.4
001260,남광토건,CFS,296406260362.0,263129339480.0,205832874018.0,241834275993.0,216082621341.0,171179968325.0,264295801416.0,238920806341.0,186233104756.0,113032137008.0,107002078032.0,87745244191.0,547683547225.0,450379452331.0,356740019691.0,4346983076.0,11115819532.0,20804647592.0,5988599636.0,19332575729.0,21679416652.0,5.3,233.82,122.57,18.07,223.29,121.77,24.71,212.24,120.24,21.6,-60.89,26.25,-46.57
001270,부국증권,CFS,,,,,,,1012607100628.0,786574355132.0,988411106505.0,757884918859.0,694855528953.0,659012129382.0,815040553001.0,983407272978.0,741109604926.0,,,,57306543254.0,42313705537.0,77359902443.0,7.56,133.61,,6.09,113.2,,11.74,149.98,,-17.12,,32.69,
001275,부국증권우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001290,상상인증권,CFS,,,,,,,1939613651597.0,374549886821.0,387709141697.0,234147787851.0,223507840089.0,194771324590.0,182188880534.0,51097917726.0,48200083960.0,,,,487236451.0,3680901132.0,8980588201.0,0.21,828.37,,1.65,167.58,,4.61,199.06,,256.55,,6.01,
001340,PKC,CFS,68116463914.0,61271070968.0,57418849425.0,143576312214.0,135827456027.0,125477096012.0,213256378678.0,194591585576.0,172997605953.0,213651817625.0,209676014934.0,188862231244.0,233521888171.0,232725146826.0,191117728512.0,17738515912.0,28274340213.0,18079442854.0,7728814098.0,22702656071.0,15001058596.0,3.62,99.81,47.44,10.83,92.81,45.11,7.94,91.6,45.76,0.34,-37.26,21.77,56.39
001360,삼성제약,CFS,29453670328.0,69571334414.0,85389948972.0,12818347194.0,14233036317.0,16697166489.0,15894485487.0,15324892000.0,18185604636.0,77584546537.0,102589916538.0,127270473689.0,51955037960.0,51832233858.0,54901130222.0,-18037069707.0,-13961176993.0,-18139831261.0,-24812021765.0,-25093031447.0,-40276343542.0,-31.98,20.49,229.78,-24.46,14.94,488.8,-31.65,14.29,511.4,0.24,-29.19,-5.59,23.04
001380,SG글로벌,CFS,57713699590.0,35078818277.0,29001076322.0,38633692570.0,43222756995.0,13114512757.0,57195063606.0,64775255814.0,64041656329.0,141051733708.0,121160192606.0,122979798064.0,96577221552.0,67661514915.0,57771768373.0,6606303384.0,-1441946513.0,-565908642.0,20175100732.0,-2445648212.0,-5550659560.0,14.3,40.55,149.39,-2.02,53.46,81.16,-4.51,52.07,221.14,42.74,558.15,17.12,-154.8
001390,KG케미칼,CFS,3213520186659.0,2561024589897.0,1885532045405.0,2378907515379.0,2303485758893.0,1815854556571.0,4181830349010.0,3761420644468.0,3097379164414.0,3636315422315.0,3315226748266.0,1787513115794.0,8933057023552.0,6607355088852.0,4826618393052.0,442583708062.0,501083594243.0,448184282061.0,350715471304.0,997422975357.0,281961177811.0,9.64,115.0,135.08,30.09,113.46,111.18,15.77,173.28,103.84,35.2,-11.67,36.89,11.8
001420,태원물산,CFS,31923884567.0,20912453087.0,22003145374.0,5975057863.0,3142665315.0,3799289627.0,8426155590.0,5374970694.0,6106381935.0,28960558405.0,29573533489.0,31332658737.0,9212314418.0,10954651040.0,9827604178.0,-810959814.0,-525103179.0,-405845565.0,-82457842.0,-1360796816.0,81272711.0,-0.28,29.1,534.29,-4.6,18.17,665.44,0.26,19.49,579.14,-15.9,-54.44,11.47,-29.38
001430,세아베스틸지주,CFS,1664235509209.0,1809109415045.0,1636018723683.0,749296026184.0,1025589889996.0,910905882900.0,1626121166492.0,1846659305036.0,1619635049491.0,2039049834129.0,1971744747023.0,1906361506004.0,4083481175925.0,4386332748546.0,3651102951303.0,196690160681.0,127856465832.0,238429625560.0,125991352125.0,88310592966.0,183668658624.0,6.18,79.75,222.11,4.48,93.66,176.4,9.63,84.96,179.6,-6.9,53.84,20.14,-46.38
001440,대한전선,CFS,1265741722000.0,1144663275000.0,939158406000.0,682343719000.0,488178116000.0,757749988000.0,925279344000.0,738060568000.0,1033109826000.0,953285756000.0,882204303000.0,387760789000.0,2843980012000.0,2450545975000.0,1997709556000.0,79823888000.0,48173734000.0,39462123000.0,71872998000.0,21830706000.0,28937337000.0,7.54,97.06,185.5,2.47,83.66,234.48,7.46,266.43,123.94,16.05,65.7,22.67,22.08
001450,현대해상,CFS,,,,,,,38032594522814.0,36744509270264.0,47809992570177.0,6055391876258.0,9508086230575.0,5008010374958.0,,,,,,,607828606638.0,1294975508162.0,432572359109.0,10.04,628.08,,13.62,386.46,,8.64,954.67,,,,,
001460,BYC,CFS,113987958313.0,120182142295.0,133338983564.0,51122092069.0,79177003824.0,130677556899.0,150742490158.0,153134740019.0,202622247604.0,534920570167.0,515737286382.0,481812264546.0,168401523886.0,169680336869.0,164445893789.0,27498394275.0,25326353051.0,26711346464.0,23666593032.0,35286502037.0,29855489397.0,4.42,28.18,222.97,6.84,29.69,151.79,6.2,42.05,102.04,-0.75,8.58,3.18,-5.19
001465,BYC우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001470,삼부토건,CFS,414655102235.0,381646065800.0,413154215142.0,360355795174.0,249462038187.0,253806537896.0,411614796994.0,307702229840.0,312924661168.0,102127653423.0,191024563687.0,205209638551.0,574975687073.0,436292508722.0,357047939605.0,-78151994195.0,-80783233662.0,-4353122537.0,-111007774067.0,-89346889585.0,-2512440828.0,-108.7,403.04,115.07,-46.77,161.08,152.99,-1.22,152.49,162.78,31.79,3.26,22.19,-1755.75
001500,현대차증권,CFS,,,,,,,10307455311005.0,9008412020030.0,7645418438546.0,1277801535735.0,1224643053695.0,1160709272657.0,1582196918963.0,1186028329210.0,853770440337.0,,,,53511195192.0,87101251163.0,117749158810.0,4.19,806.66,,7.11,735.59,,10.14,658.69,,33.4,,38.92,
001510,SK증권,CFS,,,,,,,5801855293366.0,5823507502950.0,5752726008932.0,647238478234.0,641333326971.0,618676191773.0,,,,,,,3187786850.0,8609210017.0,41431656266.0,0.49,896.4,,1.34,908.03,,6.7,929.84,,,,,
001515,SK증권우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001520,동양,CFS,473081782926.0,393101021243.0,413725955400.0,280122056642.0,176610018139.0,186917534361.0,311407795194.0,200018245461.0,223240278186.0,788242192402.0,783531995337.0,783993331767.0,866327008521.0,767681537593.0,699569458171.0,26548625914.0,7924864990.0,7617953056.0,18191365663.0,9954374483.0,11246410605.0,2.31,39.51,168.88,1.27,25.53,222.58,1.43,28.47,221.34,12.85,235.0,9.74,4.03
001525,동양우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001527,동양2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001530,DI동일,CFS,307955941619.0,335150513358.0,348005530391.0,290898144472.0,269797532529.0,305051437236.0,370119040311.0,378689103701.0,418166649986.0,605534194418.0,619195795350.0,573505489754.0,682872127202.0,829928717131.0,758072537827.0,6304538045.0,44754402506.0,48592979653.0,5995805541.0,57491368300.0,46334631668.0,0.99,61.12,105.86,9.28,61.16,124.22,8.08,72.91,114.08,-17.72,-85.91,9.48,-7.9
001550,조비,CFS,67424582740.0,78134326529.0,52932877178.0,54062420610.0,57328641472.0,38106395650.0,66303820470.0,68561445949.0,50521009807.0,52284944063.0,61480314176.0,53257703176.0,114718158323.0,148554917835.0,84597515362.0,-5582069275.0,11907297397.0,3077405830.0,-9037064085.0,8638057676.0,1851220426.0,-17.28,126.81,124.72,14.05,111.52,136.29,3.48,94.86,138.91,-22.78,-146.88,75.6,286.93
001560,제일연마,CFS,56303413670.0,53268101591.0,53855547633.0,8135004143.0,9637922726.0,8628601315.0,10794721777.0,11951004596.0,13575872997.0,95820362967.0,92166871301.0,92893380372.0,85239048510.0,83435241806.0,79747901283.0,7891764655.0,5129135206.0,6604428633.0,10917005887.0,2207065876.0,6095205487.0,11.39,11.27,692.11,2.39,12.97,552.69,6.56,14.61,624.15,2.16,53.86,4.62,-22.34
001570,금양,CFS,122321859157.0,141599405994.0,195111094332.0,410554172880.0,103934074100.0,127750499072.0,456932096288.0,160842410708.0,197424609095.0,246535275351.0,117757041729.0,117407475607.0,152030952048.0,202836313078.0,217583031941.0,-14608343494.0,7924631740.0,12570727010.0,-60356260825.0,-33310343621.0,13332209382.0,-24.48,185.34,29.79,-28.29,136.59,136.24,11.36,168.15,152.73,-25.05,-284.34,-6.78,-36.96
001620,케이비아이동국실업,CFS,285073874182.0,233598639427.0,213978423650.0,350135025821.0,301480202607.0,312622955976.0,426184780364.0,373187013643.0,397931073309.0,196052738011.0,180383548030.0,170074037625.0,649418493012.0,614172275827.0,521440974563.0,4502795734.0,-965285127.0,-73285371359.0,8074115473.0,4575114372.0,-23735748807.0,4.12,217.38,81.42,2.54,206.89,77.48,-13.96,233.98,68.45,5.74,566.47,17.78,98.68
001630,종근당홀딩스,CFS,419678255654.0,398595725433.0,436869440377.0,519907649344.0,399407472213.0,317712126690.0,632518933646.0,577829023460.0,527666927447.0,823484716865.0,798543946094.0,839968237466.0,879780769949.0,908962764139.0,925975076416.0,17005266704.0,-32878294931.0,34410730012.0,40575422161.0,-22663808796.0,25824890405.0,4.93,76.81,80.72,-2.84,72.36,99.8,3.07,62.82,137.5,-3.21,151.72,-1.84,-195.55
001680,대상,CFS,1757699533283.0,1721004720989.0,1523432149454.0,959788676109.0,997239386623.0,953797737556.0,1990623422846.0,1867569946984.0,1623307568831.0,1343746604632.0,1322626501384.0,1247222536837.0,4107493943805.0,4084090277577.0,3469992522829.0,123716647215.0,139998990821.0,153245195127.0,68563901324.0,82218894929.0,144949591853.0,5.1,148.14,183.13,6.22,141.2,172.58,11.62,130.15,159.72,0.57,-11.63,17.7,-8.64
001685,대상우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001720,신영증권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001740,SK네트웍스,CFS,2371454000000.0,2703209000000.0,3047155000000.0,3908393000000.0,3567813000000.0,3897565000000.0,6954518000000.0,7048547000000.0,7021921000000.0,2155841000000.0,2450712000000.0,2388995000000.0,9133867000000.0,9426160000000.0,10745920000000.0,237283000000.0,177552000000.0,130379000000.0,5459000000.0,90765000000.0,103540000000.0,0.25,322.59,60.68,3.7,287.61,75.77,4.33,293.93,78.18,-3.1,33.64,-12.28,36.18
001750,한양증권,CFS,,,,,,,1258029081971.0,1043504162865.0,1201053825996.0,489793772704.0,459386901440.0,432344624361.0,999032003491.0,1117144964059.0,874165603240.0,,,,35104172832.0,24033307547.0,79443581011.0,7.17,256.85,,5.23,227.15,,18.38,277.8,,-10.57,,27.8,
001755,한양증권우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001770,SHD,CFS,59304477357.0,62969604391.0,46687247105.0,33089291565.0,36134907509.0,24180044034.0,33500820712.0,36836001991.0,30435746887.0,51265337416.0,51455970487.0,40600674312.0,106293829767.0,125263992621.0,104770706369.0,672776337.0,14179053153.0,5712545723.0,110299965.0,10819013577.0,5792585283.0,0.22,65.35,179.23,21.03,71.59,174.26,14.27,74.96,193.08,-15.14,-95.26,19.56,148.21
001780,알루코,CFS,401188846987.0,326840775284.0,333969217767.0,448289152359.0,465830380456.0,367456741373.0,502306306396.0,506348248906.0,487493321077.0,358843354991.0,310584717275.0,292664381636.0,591186560074.0,645412126051.0,505586030763.0,37632269602.0,34572726220.0,16666595158.0,20461689088.0,15722959250.0,2444329339.0,5.7,139.98,89.49,5.06,163.03,70.16,0.84,166.57,90.89,-8.4,8.85,27.66,107.44
