종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,고유번호,재무제표종류,매출액_당기,매출액_전기,영업이익_당기,영업이익_전기,영업이익_전전기,부채총계,자본총계,유동자산,유동부채,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3년연속흑자
003220,대원제약,KOSPI,1581,44,39,-1.63,1731,22427,12.0,00111999,CFS,542981109597.0,536086070880.0,12312451413.0,40882964408.0,33938786318.0,293792820972.0,281699665129.0,229189126484.0,176928340885.0,1.29,-69.88,104.29,129.54,True
003230,삼양식품,KOSPI,7144,1771,2012,37.96,84143,7533,12.0,00126955,CFS,1901833914086.0,1426227457534.0,471397373030.0,323764446988.0,154833835689.0,722500311966.0,1170210736276.0,684398366982.0,415554187206.0,33.35,45.6,61.74,164.7,True
003240,태광산업,KOSPI,5333,-114,357,0.86,9163,1113,12.0,00153393,CFS,1711255928719.0,1895202561226.0,-36999619428.0,-1920987880.0,-69864089796.0,504834548348.0,3332091215027.0,2062390809831.0,296051977788.0,-9.71,-1826.07,15.15,696.63,False
003280,흥아해운,KOSPI,400,11,6,11.19,4495,240424,12.0,00167208,CFS,155463946720.0,157734958433.0,10840075229.0,25906869243.0,21714030544.0,178597511318.0,229966617701.0,125372935048.0,52430281282.0,-1.44,-58.16,77.66,239.12,True
003300,한일홀딩스,KOSPI,3956,124,120,2.11,5192,30831,12.0,00162993,CFS,62696918167.0,55296000715.0,46168767250.0,37885228889.0,26681604511.0,71958647469.0,833672139735.0,136530478797.0,58103502325.0,13.38,21.86,8.63,234.98,True
003350,한국화장품제조,KOSPI,0,0,0,0.0,1706,22660,12.0,00160621,CFS,184628302893.0,167469221700.0,32883912931.0,26545200453.0,9024560440.0,94051470239.0,104685922324.0,161754233005.0,35574871139.0,10.25,23.88,89.84,454.69,True
003460,유화증권,KOSPI,377,122,218,3.5,1729,56702,12.0,00145190,CFS,,,,,,272602005714.0,537902516178.0,,,,,50.68,,
003465,유화증권우,KOSPI,0,0,0,0.0,510,17476,12.0,,,,,,,,,,,,,,,,
003470,유안타증권,KOSPI,17234,728,879,0.0,8449,192680,12.0,00117601,CFS,3411973141000.0,2672076521000.0,,,,17422025188000.0,1868299140000.0,,,27.69,,932.51,,
003475,유안타증권우,KOSPI,0,0,0,0.0,525,12811,12.0,,,,,,,,,,,,,,,,
003480,한진중공업홀딩스,KOSPI,4840,496,444,14.88,1364,29529,12.0,00163673,CFS,10226000000.0,10188000000.0,5376000000.0,5320000000.0,5086000000.0,32185000000.0,350082000000.0,12625000000.0,2064000000.0,0.37,1.05,9.19,611.68,True
003490,대한항공,KOSPI,66581,5174,468,5.78,93343,368220,12.0,00113526,CFS,16501851540439.0,16116619627561.0,1539252001960.0,1903362012622.0,1586893705918.0,27268786591778.0,11187861262069.0,7263503922896.0,9964822933960.0,2.39,-19.13,243.74,72.89,True
003495,대한항공우,KOSPI,0,0,0,0.0,245,1110,12.0,,,,,,,,,,,,,,,,
003520,영진약품,KOSPI,2520,87,29,1.37,2161,182892,12.0,00141149,CFS,254255894053.0,252040228764.0,3415589622.0,8721997142.0,3117394410.0,170925251581.0,91459449207.0,145631338705.0,98507791557.0,0.88,-60.84,186.89,147.84,True
003530,한화투자증권,KOSPI,16594,296,250,0.0,9161,214547,12.0,00148610,CFS,2985549000000.0,2387027000000.0,,,,14386944000000.0,2065902000000.0,,,25.07,,696.4,,
003535,한화투자증권우,KOSPI,0,0,0,0.0,269,4800,12.0,,,,,,,,,,,,,,,,
