종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
065440,이루온,KOSDAQ,111,-12,-10,0.0,359,27275,12.0,1357,23.00,0.70,59.00,1942.00,-5.30
065450,빅텍,KOSDAQ,209,2,-5,8.0,861,29495,12.0,3145,20.42,1.49,154.00,2116.00,1.13
065500,오리엔트정공,KOSDAQ,375,-1,-25,-2.0,362,33242,12.0,1112,19.51,0.89,57.00,1248.00,-4.39
065510,휴비츠,KOSDAQ,297,26,38,-3.0,730,10877,12.0,6790,-16.36,0.68,-415.00,10000.00,-2.16
065530,와이어블,KOSDAQ,120,13,11,7.0,506,47838,12.0,1207,13.56,0.74,89.00,1631.00,5.32
065570,삼영이엔씨,KOSDAQ,0,0,0,0.0,122,16093,12.0,764,0.00,0.00,0.00,0.00,0.00
065650,하이퍼코퍼레이션,KOSDAQ,235,-5,-24,-14.0,214,10945,12.0,2000,-42.55,0.87,-47.00,2308.00,-1.96
065660,안트로젠,KOSDAQ,69,-37,-23,-2.0,1688,10006,12.0,16050,-68.01,1.42,-236.00,11325.00,-7.17
065680,우주일렉트로,KOSDAQ,493,46,87,9.0,2360,9240,12.0,25550,11.00,0.78,2322.00,32705.00,-6.07
065690,파커스,KOSDAQ,117,-1,9,-1.0,182,14049,12.0,1415,2.97,0.32,477.00,4417.00,0.07
065710,서호전기,KOSDAQ,259,80,62,19.0,2144,5150,12.0,42450,10.54,2.34,4026.00,18120.00,-0.93
065770,CS,KOSDAQ,33,-4,-2,-3.0,154,9705,12.0,1555,-15.10,0.87,-103.00,1797.00,-5.07
065950,웰크론,KOSDAQ,591,6,-51,-39.0,289,28231,12.0,1004,-1.56,0.67,-643.00,1488.00,-2.52
066130,하츠,KOSDAQ,1865,107,105,8.0,422,12800,12.0,3365,4.85,0.38,694.00,8923.00,0.15
066310,큐에스아이,KOSDAQ,61,5,26,5.0,638,9271,12.0,6820,25.17,0.71,271.00,9645.00,-4.35
066360,체리부로,KOSDAQ,947,32,0,28.0,323,47952,12.0,649,1.31,0.31,496.00,2100.00,-2.99
066410,버킷스튜디오,KOSDAQ,45,-12,-158,-34.0,1596,138453,12.0,1153,-3.57,1.21,-323.00,950.00,0.00
066430,아이로보틱스,KOSDAQ,361,9,-5,-1.0,730,39153,12.0,2000,-166.67,1.80,-12.00,1111.00,-8.88
066590,스모트로닉,KOSDAQ,950,34,42,-6.0,1231,38677,12.0,2545,-9.32,1.25,-273.00,2034.00,-7.79
066620,국보디자인,KOSDAQ,1022,155,184,15.0,1788,7500,12.0,23300,4.40,0.49,5293.00,47874.00,0.22
066670,디티씨,KOSDAQ,416,19,52,3.0,474,18691,12.0,2555,12.65,0.24,202.00,10582.00,0.39
066700,테라젠이텍스,KOSDAQ,685,19,-41,8.0,716,37152,12.0,2010,6.86,0.53,293.00,3789.00,1.16
066790,씨씨에스,KOSDAQ,42,-21,-19,-36.0,972,65152,12.0,1493,-10.74,3.55,-139.00,420.00,0.00
066900,디에이피,KOSDAQ,5432,-578,-643,-146.0,420,22744,12.0,1829,-0.82,5.65,-2218.00,324.00,1.61
066910,손오공,KOSDAQ,384,-7,34,19.0,400,13386,12.0,2080,28.49,0.57,73.00,3639.00,-11.68
066980,한성크린텍,KOSDAQ,449,-5,-8,-4.0,809,52597,12.0,1438,719.00,1.24,2.00,1161.00,-9.27
067000,조이시티,KOSDAQ,422,3,10,-11.0,738,69903,12.0,1164,-8.82,0.94,-132.00,1240.00,1.39
067010,이씨에스,KOSDAQ,733,-27,-14,1.0,233,10888,3.0,2105,41.27,0.46,51.00,4536.00,-1.41
067080,대화제약,KOSDAQ,370,5,-2,2.0,1710,18616,12.0,9110,102.36,2.15,89.00,4229.00,-2.46
067160,SOOP,KOSDAQ,1060,212,283,24.0,5247,11494,12.0,47450,5.36,1.08,8860.00,43822.00,-0.63
067170,오텍,KOSDAQ,1630,-42,-121,-17.0,628,27459,12.0,2060,-5.46,0.45,-377.00,4600.00,-7.62
067280,멀티캠퍼스,KOSDAQ,807,6,19,11.0,1351,5926,12.0,24750,5.60,0.64,4417.00,38888.00,5.54
067290,JW신약,KOSDAQ,810,75,140,46.0,1201,56037,12.0,1914,6.86,2.63,279.00,729.00,-3.43
067310,하나마이크론,KOSDAQ,5077,720,823,25.0,24601,66490,12.0,33200,57.74,5.53,575.00,6007.00,-8.16
067370,선바이오,KOSDAQ,87,-5,-2,0.0,698,12213,12.0,6210,-776.25,2.80,-8.00,2218.00,3.33
067390,아스트,KOSDAQ,2544,74,-87,-3.0,1933,421157,12.0,484,-21.04,0.64,-23.00,761.00,-1.63
067570,엔브이에이치코리아,KOSDAQ,3832,105,53,-15.0,729,42170,12.0,1742,-5.60,0.35,-311.00,4978.00,-0.57
067630,HLB생명과학,KOSDAQ,152,-65,-71,-16.0,2493,121917,12.0,2205,-2.69,0.90,-819.00,2440.00,7.82
067730,로지시스,KOSDAQ,0,0,0,0.0,208,9673,12.0,2190,0.00,0.00,0.00,0.00,-2.23
067770,세진티에스,KOSDAQ,33,5,13,3.0,148,8396,12.0,1980,23.29,0.35,85.00,5731.00,9.94
067900,와이엔텍,KOSDAQ,289,42,50,10.0,1084,18199,12.0,5950,3.56,0.31,1672.00,19155.00,-1.33
067920,이글루,KOSDAQ,389,-32,-27,-1.0,558,10996,12.0,5110,-1277.50,0.70,-4.00,7266.00,0.20
067990,도이치모터스,KOSDAQ,6374,104,20,1.0,1139,29181,12.0,3985,34.06,0.30,117.00,13187.00,-1.36
068050,팬엔터테인먼트,KOSDAQ,98,1,-2,-9.0,317,27694,12.0,1164,-4.19,0.46,-278.00,2546.00,-0.68
068100,케이웨더,KOSDAQ,39,1,1,-5.0,289,11927,12.0,2425,-13.94,2.09,-174.00,1162.00,0.62
068240,다원시스,KOSDAQ,210,-95,344,-36100000.0,965,38163,12.0,2530,-0.49,-0.19,-5162.00,-13604.00,0.00
068330,일신바이오,KOSDAQ,0,0,0,0.0,411,44216,12.0,946,0.00,0.00,0.00,0.00,0.42
068760,셀트리온제약,KOSDAQ,0,0,0,0.0,16983,44402,12.0,40400,0.00,0.00,0.00,0.00,3.46
068790,DMS,KOSDAQ,138,-86,3,33.0,1925,22570,12.0,8010,1.45,0.42,5540.00,19235.00,-2.67
068930,디지털대성,KOSDAQ,698,102,92,20.0,1967,27675,12.0,7440,9.84,1.39,756.00,5341.00,0.13
068940,셀피글로벌,KOSDAQ,88,-18,-19,-86.0,357,45912,12.0,778,-3.12,3.44,-249.00,226.00,0.00
069080,웹젠,KOSDAQ,394,54,120,5.0,3719,30966,12.0,11770,16.98,0.50,693.00,23519.00,-3.52
069140,누리플랜,KOSDAQ,272,17,11,3.0,258,15095,12.0,1801,112.56,0.65,16.00,2750.00,-1.04
069330,유아이디,KOSDAQ,156,35,37,19.0,180,16952,12.0,1063,11.07,0.72,96.00,1475.00,-9.92
069410,엔텔스,KOSDAQ,160,1,9,6.0,279,10244,12.0,2830,9.16,0.50,309.00,5643.00,0.35
069510,에스텍,KOSDAQ,1052,53,111,17.0,1355,10910,12.0,12510,3.28,0.45,3815.00,27942.00,0.97
069540,빛과전자,KOSDAQ,71,-17,-34,-30.0,2704,112691,12.0,2145,-5.64,2.27,-380.00,947.00,-13.16
069920,엑시온그룹,KOSDAQ,19,-34,-62,0.0,148,9296,12.0,1207,-0.44,0.18,-2747.00,6637.00,29.92
070300,엑스큐어,KOSDAQ,16,-19,-48,0.0,656,35524,12.0,1816,139.69,1.33,13.00,1365.00,1.17
070590,인티큐브,KOSDAQ,104,-23,-23,-18.0,227,13879,12.0,1637,28.72,1.72,57.00,954.00,-0.79
071200,인피니트헬스케어,KOSDAQ,321,95,134,21.0,2098,24396,12.0,8300,7.67,1.06,1082.00,7866.00,-0.60
071280,로체시스템즈,KOSDAQ,400,43,44,9.0,946,15296,12.0,6900,8.61,0.77,801.00,9007.00,0.15
071670,에이테크솔루션,KOSDAQ,687,-9,-10,-1.0,492,10000,12.0,4930,107.17,0.56,46.00,8846.00,-6.45
071850,캐스텍코리아,KOSDAQ,373,-12,12,-26.0,346,24260,12.0,1407,-1.60,0.62,-879.00,2283.00,-1.12
072020,중앙백신,KOSDAQ,0,0,0,0.0,868,9256,12.0,9200,0.00,0.00,0.00,0.00,-0.54
072470,우리산업홀딩스,KOSDAQ,1719,86,93,10.0,424,18887,12.0,2315,3.98,0.31,582.00,7488.00,0.43
072770,멤레이비티,KOSDAQ,100,-16,-23,-39.0,408,41512,12.0,933,-1.70,0.82,-550.00,1137.00,6.87
072870,메가스터디,KOSDAQ,276,15,78,9.0,1537,11920,12.0,12870,5.62,0.44,2290.00,29432.00,-0.69
072950,빛샘전자,KOSDAQ,389,38,42,12.0,578,8052,12.0,6900,7.36,0.67,938.00,10357.00,-6.38
072990,에이치시티,KOSDAQ,247,4,0,6.0,475,14498,12.0,3450,7.95,0.52,434.00,6597.00,1.92
073010,케이에스피,KOSDAQ,250,40,31,9.0,1063,40191,12.0,2745,16.84,1.32,163.00,2074.00,-1.26
073110,엘엠에스,KOSDAQ,223,-8,37,-9.0,448,8895,12.0,4975,-3.65,0.50,-1364.00,10013.00,-0.70
073190,듀오백,KOSDAQ,231,-34,-36,-24.0,82,11968,12.0,840,-2.82,0.60,-298.00,1393.00,3.83
073490,LIG아큐버,KOSDAQ,455,-3,7,2.0,1984,7603,12.0,28450,-180.06,1.29,-158.00,21991.00,-4.85
073540,에프알텍,KOSDAQ,41,-5,-2,0.0,235,11400,12.0,2105,11.50,0.40,183.00,5300.00,-4.10
073560,우리손에프앤지,KOSDAQ,711,27,15,8.0,1047,69237,12.0,1508,4.38,0.31,344.00,4805.00,-0.53
073570,리튬포어스,KOSDAQ,29,-19,-13,0.0,193,12037,12.0,1611,-0.57,1.10,-2825.00,1469.00,-3.53
073640,테라사이언스,KOSDAQ,38,-17,-18,-30.0,761,116378,12.0,654,-4.06,2.31,-161.00,283.00,0.00
074430,아미노로직스,KOSDAQ,54,6,11,4.0,904,87826,12.0,1055,26.38,1.65,40.00,638.00,0.29
074600,원익QnC,KOSDAQ,2562,219,151,5.0,7229,26288,12.0,25850,30.20,1.40,856.00,18524.00,-6.51
075130,플랜티넷,KOSDAQ,106,5,5,1.0,304,16122,12.0,2000,14.71,0.44,136.00,4580.00,-0.50
075970,동국알앤에스,KOSDAQ,278,6,1,1.0,301,18400,12.0,1639,51.22,0.38,32.00,4295.00,-0.49
076080,웰크론한텍,KOSDAQ,313,16,-33,-139.0,214,22594,12.0,1000,-0.52,1.62,-1923.00,619.00,-0.10
076610,해성옵틱스,KOSDAQ,695,7,32,-1.0,605,59236,12.0,1157,-4.97,3.01,-233.00,385.00,-9.54
077360,덕산하이메탈,KOSDAQ,687,-7,50,-38.0,4321,45437,12.0,8530,-3.66,1.88,-2333.00,4544.00,-5.85
078020,LS증권,KOSDAQ,16365,392,398,5.0,3511,55481,12.0,6410,18.74,0.41,342.00,15643.00,-2.29
078070,유비쿼스홀딩스,KOSDAQ,329,57,171,10.0,1393,17058,12.0,8320,7.28,0.52,1143.00,16069.00,-2.80
078130,국일제지,KOSDAQ,167,-5,-2,-2.0,4633,112740,12.0,4045,-252.81,3.81,-16.00,1063.00,-1.82
078140,대봉엘에스,KOSDAQ,291,20,4,5.0,835,11086,12.0,7760,8.56,0.60,907.00,12898.00,0.52
078150,HB테크놀러지,KOSDAQ,363,5,232,17.0,1668,92715,12.0,1837,6.00,0.57,306.00,3208.00,-3.42
078160,메디포스트,KOSDAQ,195,-169,-103,-33.0,3159,39204,12.0,8080,-3.62,1.27,-2230.00,6371.00,-5.39
078340,컴투스,KOSDAQ,1447,51,-84,2.0,2962,12091,12.0,26000,9.08,0.30,2865.00,86968.00,1.56
078350,한양디지텍,KOSDAQ,1920,68,64,9.0,2995,15244,12.0,19840,20.20,1.70,982.00,11658.00,-5.97
078590,휴림에이텍,KOSDAQ,0,0,0,0.0,199,9991,12.0,3725,0.00,0.00,0.00,0.00,10.70
078600,대주전자재료,KOSDAQ,909,92,-61,4.0,11354,15704,12.0,75300,56.40,4.49,1335.00,16760.00,-7.27
078860,아이오케이이엔엠,KOSDAQ,10,-14,51,-12.0,176,6177,12.0,2930,-0.99,0.25,-2959.00,11567.00,-2.17
078890,가온그룹,KOSDAQ,1218,113,62,6.0,677,18424,12.0,3750,10.14,0.52,370.00,7147.00,-4.70
079000,와토스코리아,KOSDAQ,0,0,0,0.0,321,7200,12.0,4355,0.00,0.00,0.00,0.00,0.81
079170,한창산업,KOSDAQ,0,0,0,0.0,240,5200,12.0,4765,0.00,0.00,0.00,0.00,-0.52
079190,케스피온,KOSDAQ,106,2,9,-15.0,109,19177,12.0,1057,-2.22,0.75,-477.00,1406.00,-3.91
079370,제우스,KOSDAQ,549,-171,-131,-3.0,2825,31016,12.0,8830,-46.97,0.81,-188.00,10867.00,-6.06
079650,서산,KOSDAQ,115,3,6,0.0,851,20000,12.0,3800,-77.55,1.09,-49.00,3495.00,-10.27
079810,APS이노베이션,KOSDAQ,196,30,65,3.0,585,21528,12.0,2805,701.25,0.36,4.00,7818.00,-3.77
079940,가비아,KOSDAQ,850,107,109,10.0,6374,13420,12.0,47550,40.75,3.51,1167.00,13565.00,0.00
079950,인베니아,KOSDAQ,140,2,22,-31.0,146,13799,12.0,1233,-0.72,0.56,-1704.00,2204.00,-0.40
079960,동양이엔피,KOSDAQ,1228,65,171,11.0,1516,7860,12.0,20000,3.18,0.34,6293.00,58388.00,-1.23
079970,투비소프트,KOSDAQ,58,0,0,9.0,76,12829,12.0,596,6.93,0.34,86.00,1747.00,0.00
080010,이상네트웍스,KOSDAQ,247,58,65,10.0,734,9835,12.0,7610,5.13,0.50,1484.00,15272.00,-1.04
080160,모두투어,KOSDAQ,613,28,62,15.0,1540,18900,12.0,8550,11.15,1.68,767.00,5081.00,-1.04
080220,제주반도체,KOSDAQ,1805,671,781,46.0,26968,34442,12.0,70300,61.29,10.43,1147.00,6742.00,-13.10
080420,모다이노칩,KOSDAQ,876,31,-50,-3.0,1091,79721,12.0,1363,-23.50,0.30,-58.00,4520.00,-1.30
080470,성창오토텍,KOSDAQ,564,20,40,14.0,213,7300,12.0,2895,2.49,0.35,1163.00,8274.00,0.00
080520,오디텍,KOSDAQ,111,-23,-14,0.0,329,11322,12.0,2860,37.63,0.25,76.00,11389.00,-0.87
080530,코디,KOSDAQ,200,11,10,9.0,272,11071,12.0,2380,4.58,0.45,520.00,5298.00,-2.66
080580,오킨스전자,KOSDAQ,256,36,40,24.0,2676,21090,12.0,11660,28.23,4.65,413.00,2506.00,-9.40
080720,한국유니온제약,KOSDAQ,59,-16,-23,-36100000.0,215,7912,12.0,2725,-0.70,-0.86,-3895.00,-3168.00,0.00
081150,티플랙스,KOSDAQ,0,0,0,0.0,644,24268,12.0,2705,0.00,0.00,0.00,0.00,-1.99
081180,쎄크,KOSDAQ,365,-41,-45,-15.0,492,8825,12.0,5860,18.26,2.13,321.00,2747.00,-6.24
081580,성우전자,KOSDAQ,472,17,28,11.0,359,15508,12.0,2375,2.98,0.32,798.00,7430.00,0.00
082210,옵트론텍,KOSDAQ,593,44,-5,-29.0,728,34963,12.0,2135,-3.29,1.16,-649.00,1841.00,-0.23
082270,젬백스,KOSDAQ,183,-8,-15,-6.0,4316,44269,12.0,10110,-37.03,7.48,-273.00,1351.00,-1.17
082660,코스나인,KOSDAQ,49,-55,-174,-139.0,478,99640,12.0,480,-2.30,2.16,-209.00,222.00,0.00
082800,비보존 제약,KOSDAQ,141,-30,-56,-34.0,1469,60719,12.0,2345,-3.85,1.70,-609.00,1379.00,-3.70
082850,우리바이오,KOSDAQ,2692,-43,13,-3.0,508,48456,12.0,1050,-5.44,0.24,-193.00,4337.00,-3.40
082920,비츠로셀,KOSDAQ,683,203,263,21.0,13148,45339,12.0,31100,24.76,4.23,1256.00,7355.00,-3.42
083310,엘오티베큠,KOSDAQ,626,-54,-26,-2.0,1447,17810,12.0,7880,-17.67,0.51,-446.00,15352.00,-5.63
083450,GST,KOSDAQ,1159,202,218,19.0,7980,18430,12.0,40150,16.34,2.38,2457.00,16838.00,-7.91
083470,이엠앤아이,KOSDAQ,17,-13,-12,0.0,149,21340,12.0,648,-3.00,1.34,-216.00,485.00,-0.46
083500,에프엔에스테크,KOSDAQ,129,35,36,12.0,1115,8306,12.0,12330,12.16,1.14,1014.00,10847.00,-8.53
083550,케이엠,KOSDAQ,338,-9,-1,4.0,342,13556,12.0,2560,8.28,0.25,309.00,10283.00,-0.97
083640,인콘,KOSDAQ,491,16,-29,-4.0,257,22958,12.0,1171,-31.65,1.09,-37.00,1074.00,-0.59
083650,비에이치아이,KOSDAQ,2808,353,68,40.0,12547,30944,12.0,44800,21.26,7.81,2107.00,5739.00,-4.88
083660,CSA 코스믹,KOSDAQ,71,-16,-21,-40.0,245,106638,12.0,230,-2.13,1.00,-108.00,229.00,0.00
083790,CG인바이츠,KOSDAQ,43,-61,-58,-3.0,650,76894,12.0,770,-20.26,0.67,-38.00,1144.00,-0.52
083930,아바코,KOSDAQ,148,-40,22,15.0,1444,14677,12.0,10230,5.28,0.66,1939.00,15532.00,-1.63
084110,휴온스글로벌,KOSDAQ,1970,92,187,4.0,3051,12659,12.0,25000,10.96,0.56,2281.00,44802.00,-3.29
084180,수성웹툰,KOSDAQ,226,5,-1,-43.0,90,18074,12.0,528,-0.24,0.12,-2226.00,4306.00,-16.59
084370,유진테크,KOSDAQ,1019,188,281,13.0,28828,22916,12.0,109200,58.93,5.36,1853.00,20368.00,-10.78
084440,유비온,KOSDAQ,209,10,10,6.0,186,19132,9.0,1032,15.18,2.68,68.00,385.00,2.38
084650,랩지노믹스,KOSDAQ,179,-42,-49,-35.0,481,74239,12.0,628,-0.72,0.31,-867.00,2015.00,-4.27
084730,팅크웨어,KOSDAQ,1197,-46,-33,-14.0,738,11109,12.0,6380,-3.18,0.40,-2005.00,16025.00,-0.93
084850,아이티엠반도체,KOSDAQ,1322,-49,-36,-63.0,1830,22682,12.0,8000,-1.94,1.75,-4125.00,4571.00,-4.19
084990,헬릭스미스,KOSDAQ,6,-22,-14,0.0,1539,46092,12.0,3300,-366.67,1.07,-9.00,3083.00,-4.35
085660,차바이오텍,KOSDAQ,3297,-307,1,-18.0,8079,92972,12.0,8880,-5.79,2.38,-1533.00,3732.00,-0.89
085670,뉴프렉스,KOSDAQ,350,3,16,9.0,742,24500,12.0,3000,8.33,0.68,360.00,4434.00,-4.00
085810,알티캐스트,KOSDAQ,175,-11,-17,-5.0,243,14136,12.0,1739,-22.58,0.42,-77.00,4129.00,0.64
085910,네오티스,KOSDAQ,179,23,38,10.0,2452,13794,12.0,15260,50.03,3.67,305.00,4154.00,-12.80
086040,바이오톡스텍,KOSDAQ,119,-18,-29,2.0,328,15958,12.0,2175,29.79,0.83,73.00,2607.00,0.00
086060,진바이오텍,KOSDAQ,215,8,7,7.0,443,8610,12.0,5150,11.70,0.81,440.00,6387.00,-0.19
086390,유니테스트,KOSDAQ,224,-25,-2,-16.0,1986,21134,12.0,8670,-8.81,1.82,-984.00,4773.00,-10.62
086450,동국제약,KOSDAQ,2510,273,302,12.0,8512,45230,12.0,18230,12.49,1.24,1460.00,14714.00,-1.83
086520,에코프로,KOSDAQ,8183,564,2891,3.0,102103,135776,12.0,78100,-70.81,5.35,-1103.00,14608.00,-7.35
086670,비엠티,KOSDAQ,356,18,42,14.0,1435,9925,12.0,15130,7.46,1.01,2027.00,15049.00,-0.66
086710,선진뷰티사이언스,KOSDAQ,227,15,23,6.0,824,12203,12.0,7280,14.92,1.03,488.00,7045.00,-0.14
086820,바이오솔루션,KOSDAQ,38,-13,-20,0.0,1511,25924,12.0,6150,559.09,4.65,11.00,1324.00,2.16
086890,이수앱지스,KOSDAQ,0,0,0,0.0,1264,40774,12.0,3685,0.00,0.00,0.00,0.00,3.51
086900,메디톡스,KOSDAQ,607,74,97,5.0,5035,7298,12.0,71000,33.12,1.10,2144.00,64588.00,-0.70
086960,MDS테크,KOSDAQ,509,45,27,7.0,769,42528,12.0,1827,8.27,0.51,221.00,3615.00,-3.79
086980,쇼박스,KOSDAQ,789,217,218,3.0,1234,62438,12.0,1944,-8.10,1.13,-240.00,1721.00,-3.04
087010,펩트론,KOSDAQ,32,-165,-216,-23.0,24786,23317,12.0,113300,-113.30,17.30,-1000.00,6550.00,4.14
087260,모바일어플라이언스,KOSDAQ,45,-29,-30,-8.0,80,32552,12.0,247,-14.53,0.16,-17.00,1509.00,0.00
087600,픽셀플러스,KOSDAQ,535,8,36,4.0,335,8166,12.0,4260,10.02,0.33,425.00,12965.00,0.00
088130,동아엘텍,KOSDAQ,409,40,-170,29.0,874,17485,12.0,4915,1.75,0.51,2811.00,9726.00,-4.93
088280,쏘닉스,KOSDAQ,170,-45,-22,-5.0,443,17306,12.0,2500,-19.38,1.03,-129.00,2424.00,-8.26
088290,이원컴포텍,KOSDAQ,85,-9,-15,0.0,186,7976,12.0,2230,-4.00,1.87,-558.00,1194.00,0.00
