종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
003300,한일홀딩스,KOSPI,3956,124,120,2.11,5192,30831,12.0,17975.0,17.55,0.33,1024.0,54474.0,2.6
003350,한국화장품제조,KOSPI,0,0,0,0.0,1706,22660,12.0,8220.0,0.0,0.0,0.0,0.0,6.06
003460,유화증권,KOSPI,377,122,218,3.5,1729,56702,12.0,3070.0,12.79,0.42,240.0,7363.0,0.99
003465,유화증권우,KOSPI,0,0,0,0.0,510,17476,12.0,3005.0,0.0,0.0,0.0,0.0,-2.44
003470,유안타증권,KOSPI,17234,728,879,0.0,8449,192680,12.0,4455.0,9.9,0.48,450.0,9275.0,-0.11
003475,유안타증권우,KOSPI,0,0,0,0.0,525,12811,12.0,4205.0,0.0,0.0,0.0,0.0,-0.36
003480,한진중공업홀딩스,KOSPI,4840,496,444,14.88,1364,29529,12.0,4635.0,2.32,0.27,2001.0,17045.0,-0.64
003490,대한항공,KOSPI,66581,5174,468,5.78,93343,368220,12.0,26250.0,12.43,0.89,2111.0,29659.0,3.14
003495,대한항공우,KOSPI,0,0,0,0.0,245,1110,12.0,21700.0,0.0,0.0,0.0,0.0,-0.23
003520,영진약품,KOSPI,2520,87,29,1.37,2161,182892,12.0,1220.0,174.29,2.48,7.0,491.0,0.0
003530,한화투자증권,KOSPI,16594,296,250,0.0,9161,214547,12.0,4290.0,9.23,0.45,465.0,9484.0,0.47
003535,한화투자증권우,KOSPI,0,0,0,0.0,269,4800,12.0,5300.0,0.0,0.0,0.0,0.0,-0.19
003540,대신증권,KOSPI,24014,1025,1941,0.0,12131,47666,12.0,25900.0,12.67,0.48,2044.0,54154.0,0.58
003545,대신증권우,KOSPI,0,0,0,0.0,4764,24383,12.0,19670.0,0.0,0.0,0.0,0.0,-0.1
003547,대신증권2우B,KOSPI,0,0,0,0.0,1824,9606,12.0,19130.0,0.0,0.0,0.0,0.0,-0.36
003550,LG,KOSPI,18006,4138,4427,1.73,147109,151192,12.0,97600.0,21.09,0.52,4628.0,186173.0,-0.31
003555,LG우,KOSPI,0,0,0,0.0,1897,3011,12.0,64200.0,0.0,0.0,0.0,0.0,0.16
003570,SNT다이내믹스,KOSPI,1799,213,239,7.65,10707,33252,12.0,33550.0,18.12,0.91,1852.0,36682.0,-4.14
003580,HLB글로벌,KOSPI,267,-25,-29,-5.24,623,50663,12.0,1219.0,-8.13,0.84,-150.0,1457.0,-0.16
003610,방림,KOSPI,625,-7,65,3.76,1628,32110,9.0,5400.0,32.93,0.96,164.0,5603.0,1.89
003620,KG모빌리티,KOSPI,11414,96,249,4.83,5494,202374,12.0,2825.0,12.18,0.39,232.0,7336.0,0.89
003650,미창석유,KOSPI,4319,456,675,13.54,2485,1739,12.0,140800.0,4.65,0.57,30250.0,246893.0,-0.28
003670,포스코퓨처엠,KOSPI,7575,177,100,-0.4,123279,88946,12.0,139900.0,362.44,3.06,386.0,45731.0,-1.2
003680,한성기업,KOSPI,3325,110,33,4.25,534,6209,12.0,7730.0,16.91,0.66,457.0,11720.0,2.11
003690,코리안리,KOSPI,17737,2912,2905,0.0,23645,176721,12.0,13980.0,8.46,0.67,1653.0,20843.0,0.22
003720,삼영,KOSPI,484,60,67,19.68,1938,34000,12.0,6280.0,16.23,2.42,387.0,2595.0,3.8
003780,진양산업,KOSPI,222,17,17,10.63,609,13000,12.0,4060.0,7.6,0.79,534.0,5164.0,-0.25
003830,대한화섬,KOSPI,1238,-15,-64,-0.35,1450,1328,12.0,112500.0,-59.9,0.21,-1878.0,532233.0,0.45
003850,보령,KOSPI,2554,202,539,12.78,6974,85787,12.0,8260.0,11.04,0.83,748.0,10008.0,0.12
003920,남양유업,KOSPI,2252,5,82,1.57,2451,6000,12.0,43050.0,49.43,0.36,871.0,120319.0,-0.23
003925,남양유업우,KOSPI,0,0,0,0.0,628,2000,12.0,30900.0,0.0,0.0,0.0,0.0,0.0
003960,사조대림,KOSPI,8863,238,199,-10.59,2708,9164,12.0,30300.0,-3.53,0.42,-8577.0,72933.0,1.0
004000,롯데정밀화학,KOSPI,5107,327,554,5.1,11726,25800,12.0,46150.0,11.22,0.48,4112.0,95632.0,-2.02
004020,현대제철,KOSPI,57397,157,-321,0.04,33761,133445,12.0,27550.0,-529.81,0.19,-52.0,147255.0,-0.72
004060,SG세계물산,KOSPI,277,-19,41,1.4,481,20242,12.0,2360.0,53.64,0.18,44.0,13190.0,0.43
004080,신흥,KOSPI,252,8,11,2.91,1304,9300,12.0,14000.0,47.14,1.14,297.0,12296.0,0.07
004090,한국석유,KOSPI,1712,41,25,3.67,1424,12694,12.0,10930.0,26.59,0.68,411.0,16160.0,-9.14
