종목코드,3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원)
004250,-25.0,-20.84,-35.5,1.7
004255,-17.4,-17.92,-26.08,0.3
004270,8.09,-0.75,-23.66,0.8
004310,-29.28,-48.91,53.52,299.5
004360,-16.77,-6.96,-10.03,6.1
004365,-4.96,5.86,-7.4,0.4
004370,-3.67,-10.8,-5.28,96.8
004380,-33.45,-39.07,-39.07,18.7
004410,-36.96,-31.31,-36.56,8.0
004415,-44.68,-45.41,-47.91,0.2
004430,19.92,39.56,10.92,24.2
004440,-34.61,-11.11,-2.29,9.0
004450,-11.23,-10.45,-28.61,0.2
004490,-17.26,-17.13,-26.52,34.7
004540,-38.42,-36.84,-42.34,6.2
004545,-52.74,-55.44,-58.37,0.3
004560,-31.32,-9.84,-11.87,17.3
004690,-17.22,-9.63,-18.08,15.3
004700,-5.99,-12.62,-7.47,1.5
004710,5.09,36.51,27.88,251.0
004720,-11.0,-18.48,-19.44,2.1
004770,-10.02,-0.43,-11.49,3.9
004800,-8.3,1.55,104.17,99.8
004830,-32.96,-32.34,-44.62,9.1
004835,-41.25,-44.3,-50.62,0.9
004840,-19.2,-12.9,-19.5,1.5
004870,-26.72,-54.25,-68.81,25.1
004890,-6.59,-6.71,-23.88,0.6
004910,-29.71,-29.35,-41.25,1.3
004920,-16.68,-19.76,-16.61,2.3
004960,-31.81,-0.2,24.97,10.3
004970,-4.32,2.99,-7.46,1.4
004980,-29.1,-17.42,-15.47,19.8
004985,-29.93,-22.58,-24.89,0.8
004990,-19.0,-22.48,-20.24,70.0
00499K,-21.35,-21.35,-33.38,0.4
005010,-28.93,-8.33,-19.94,46.2
005030,0.0,0.0,0.0,0.0
005070,-44.78,-27.89,-9.47,83.1
005090,-22.24,132.55,93.33,52.7
005110,0.0,0.0,0.0,0.0
005180,-11.67,-13.17,-19.66,24.1
005250,-33.7,-37.11,-42.29,52.2
005257,-34.65,-37.42,-50.02,0.7
005300,-19.22,-23.84,-24.53,26.6
005305,-17.74,-14.09,-11.39,1.3
005320,-28.44,-5.21,-27.01,1.3
005360,-0.74,-7.29,-15.62,42.3
005380,-21.83,-21.37,85.22,9285.5
005385,-20.16,-30.11,20.27,345.6
005387,-19.96,-31.79,16.73,520.6
005389,-20.08,-30.06,17.15,48.6
005420,-49.34,-41.51,-42.71,24.2
005430,34.13,16.35,17.73,16.3
005440,-17.23,40.32,40.32,40.1
005490,-24.58,-14.95,-5.86,1742.6
005500,-5.6,-8.45,-11.97,51.3
005610,-22.67,-24.26,-31.28,2.8
005680,-11.11,19.89,19.13,18.2
005690,-42.07,-22.98,-15.14,112.7
005720,-14.36,6.9,-6.34,2.4
005725,-5.29,1.36,-2.18,0.1
005740,-19.77,-14.33,-28.1,3.8
005745,-31.91,-33.85,-43.96,0.1
005750,-27.25,-10.63,-2.44,1.8
005800,-13.32,-12.52,-0.75,0.8
005810,-22.07,-11.51,-30.8,16.3
005820,-20.72,-7.13,-17.16,0.4
005830,-4.06,29.15,25.11,366.3
005850,-10.69,-3.55,59.0,135.9
005870,-53.93,-41.03,-52.75,8.9
005880,-32.48,-0.48,0.97,110.1
005930,13.67,64.04,278.6,90424.6
005935,15.22,59.12,225.55,9831.0
005940,-17.24,21.04,40.34,300.4
005945,-12.41,13.52,42.73,15.4
005950,51.82,50.85,124.37,192.3
005960,-27.18,24.4,24.86,7.4
005965,-22.02,-16.38,-17.07,0.3
006040,-9.41,-14.99,-23.84,23.7
006060,-28.55,-29.47,-46.47,3.6
006090,-0.96,-3.29,-18.21,0.8
006110,-51.21,32.88,50.11,158.7
006120,-9.09,-15.61,-6.69,20.9
006125,-10.4,-4.89,-6.77,1.2
006200,-43.77,-29.55,-38.82,1.6
006220,-28.9,-25.46,-40.89,146.5
006260,-22.96,34.65,74.04,948.1
006280,-13.44,-23.41,-18.99,75.0
006340,52.22,276.68,383.45,1582.3
006345,82.2,190.4,180.27,169.9
006360,-25.77,57.63,50.87,564.2
006370,-17.1,2.0,-19.46,5.1
006380,0.0,0.0,0.0,0.0
006400,-33.23,14.75,125.5,3373.0
006405,-40.06,-10.46,47.81,34.8
006490,-60.0,-73.33,-83.31,2.2
006570,1.49,-7.9,-28.67,0.7
006650,-37.45,-37.77,-2.54,49.9
006660,-1.66,-10.24,-9.12,188.9
006740,-33.17,-49.48,-59.39,0.8
006800,-44.84,6.5,84.38,1949.5
006805,-40.85,-19.01,37.75,24.3
00680K,-38.95,-7.24,40.39,115.4
006840,-26.09,-21.39,-47.17,1.1
006880,-32.8,-31.16,-40.24,3.1
006890,-36.53,-26.36,-48.42,5.5
006980,-28.75,2.29,-4.95,1.0
007070,10.52,22.04,53.37,56.9
007110,-51.06,-49.41,-60.97,7.3
007120,-45.15,6.1,11.33,1.4
007160,-12.8,-19.38,-4.18,2.8
007210,-31.94,-14.73,-34.43,4.5
007280,-37.03,-30.86,-33.22,0.9
007310,-13.43,-18.41,-19.85,17.9
007340,-9.43,51.95,25.08,91.1
007460,-55.33,-79.7,-79.19,32.3
007540,-18.09,-11.01,-11.01,2.7
007570,-31.0,-44.04,-46.42,5.3
007575,-34.94,-52.29,-56.39,0.1
007590,-7.32,-4.46,-11.73,0.5
007610,-13.98,-13.98,-13.98,310.1
007660,-43.29,-27.44,43.8,1376.2
007690,-6.37,7.75,-2.01,8.2
007700,-27.41,-29.79,-26.1,3.4
007810,-41.68,-10.22,405.76,352.0
007815,-28.7,-15.49,150.49,0.5
00781K,-24.11,-5.79,113.28,0.5
007860,-21.14,-31.82,-27.95,7.2
007980,-21.58,-9.87,15.28,4.7
008040,-23.04,-26.12,-28.64,4.3
008060,-18.73,40.74,71.46,24.3
00806K,-7.25,18.0,24.85,1.4
008250,-31.63,-33.25,-48.35,0.9
008260,-18.13,-9.32,-17.26,4.0
008350,-51.78,-11.36,-11.07,68.9
008355,-47.96,-49.32,-42.19,0.2
008420,-11.02,3.88,-12.3,11.1
008490,5.54,-0.48,1.72,8.8
008600,0.0,-1.39,-38.8,0.0
008700,-26.08,-21.48,-21.54,12.2
008730,-48.42,-49.93,-56.4,15.2
008770,-24.4,1.73,-8.37,179.6
008775,-24.27,-16.64,-39.74,0.7
008870,-11.74,-19.09,-31.41,0.3
008930,-11.28,-14.36,-30.38,47.0
008970,-41.86,-42.04,-69.19,20.9
009070,-35.31,-38.12,-35.83,7.9
009140,-4.56,11.0,5.77,4.0
009150,68.27,387.5,882.95,18733.8
009155,51.38,280.0,647.19,613.9
009160,-18.81,-5.03,-7.17,10.1
009180,-13.12,0.36,-9.45,3.4
009190,14.83,31.57,9.56,19.1
009200,-25.37,-21.59,-31.51,2.5
009240,-3.06,-16.39,-16.85,21.7
009270,-25.76,-27.54,-37.48,6.8
009290,-29.66,1.02,-3.26,13.7
009310,400.47,373.36,305.32,0.0
009320,-8.09,-12.26,-3.4,3.2
009410,-16.35,4.05,-25.04,7.7
009415,-47.81,-24.48,15.96,5.7
009420,-9.69,-7.36,59.59,299.7
009440,0.0,0.0,0.0,0.0
009450,-8.68,14.19,-25.57,39.0
009460,6.07,13.58,-18.62,1.0
009470,-51.05,-46.32,-16.2,96.4
009540,-21.85,-14.68,5.08,948.3
009580,-42.47,-28.72,-38.41,5.5
009680,-10.19,-3.42,-6.62,2.5
009770,-15.63,-13.98,-10.34,0.5
009810,-20.73,-28.46,-48.14,0.4
009830,-35.55,7.09,-18.45,809.5
009835,-29.8,-12.52,-33.3,3.3
009900,-42.33,-27.46,-17.72,24.4
009970,-3.55,3.72,51.98,33.5
010040,-28.29,-28.99,-38.64,0.9
010060,-34.9,102.27,157.2,886.4
010100,-21.04,-44.5,-19.44,25.5
010120,-10.82,98.43,251.3,2812.8
010130,-34.53,-31.96,31.58,307.2
010140,-33.43,-24.67,21.36,1441.0
010400,15.64,17.49,88.91,1.0
010580,-25.98,-42.38,-4.62,9.5
010640,-28.19,-43.13,-49.69,4.3
010660,-46.96,-54.46,-47.37,14.9
010690,-36.43,-19.06,-10.74,136.3
010770,-1.27,-1.02,-24.86,3.9
010780,-32.34,-16.21,-9.13,28.4
010820,-58.61,39.5,34.64,116.2
010950,26.63,51.96,142.7,507.5
010955,21.22,36.13,65.36,13.6
010960,-22.53,-18.45,-9.77,79.6
011000,164.09,48.91,16.34,65.9
011070,15.31,125.63,307.7,4293.9
011090,-40.42,-51.7,-60.09,7.1
011150,-26.59,-28.67,-31.69,2.2
011155,-49.37,-55.04,-61.26,0.1
011170,-36.81,-23.91,-7.84,148.8
011200,2.61,6.39,-11.99,302.7
011210,-31.56,-35.46,10.98,200.3
011230,4.09,-9.95,-47.44,109.8
011280,-22.11,-20.05,-18.28,2.5
011300,-23.73,-30.05,-39.46,1.9
011330,-40.41,-66.68,-77.97,3.1
011390,-47.1,-48.19,-55.78,3.4
011420,-22.12,-29.41,-38.59,1.7
011500,-51.1,-48.59,-19.8,23.4
